CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TenureDays,SnapshotDate,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
12370,72,3,79.64,26.546666666666667,110,2011-12-10 18:30:00,3,2,3,8,323
12371,26,15,1349.32,89.95466666666667,507,2011-12-10 18:30:00,4,5,5,14,455
12372,123,2,130.86,65.43,147,2011-12-10 18:30:00,2,1,3,6,213
12373,22,27,8278.97,306.6285185185185,694,2011-12-10 18:30:00,4,5,5,14,455
12374,52,16,1592.63,99.539375,624,2011-12-10 18:30:00,3,5,5,13,355
12375,195,4,20.32,5.08,233,2011-12-10 18:30:00,1,3,2,6,132
12376,145,5,61.64,12.328,209,2011-12-10 18:30:00,2,3,2,7,232
12377,2,3,8.780000000000001,2.926666666666667,18,2011-12-10 18:30:00,5,2,1,8,521
12378,57,4,194.52,48.63,95,2011-12-10 18:30:00,3,3,3,9,333
12379,109,9,517.22,57.46888888888889,382,2011-12-10 18:30:00,2,4,4,10,244
12380,2,5,66.19,13.238,109,2011-12-10 18:30:00,5,3,2,10,532
12381,43,12,922.38,76.865,339,2011-12-10 18:30:00,3,5,5,13,355
12382,27,11,1578.6000000000001,143.50909090909093,412,2011-12-10 18:30:00,4,5,5,14,455
12383,74,4,186.82,46.705,122,2011-12-10 18:30:00,3,3,3,9,333
12384,76,6,296.06,49.343333333333334,163,2011-12-10 18:30:00,3,3,4,10,334
12385,179,1,28.340000000000003,28.340000000000003,179,2011-12-10 18:30:00,2,1,2,5,212
12386,241,7,274.07,39.152857142857144,436,2011-12-10 18:30:00,1,4,4,9,144
12387,26,1,1.49,1.49,26,2011-12-10 18:30:00,4,1,1,6,411
12388,233,1,6.5,6.5,233,2011-12-10 18:30:00,1,1,1,3,111
12389,114,8,687.49,85.93625,338,2011-12-10 18:30:00,2,4,4,10,244
12390,22,1,40.94,40.94,22,2011-12-10 18:30:00,4,1,2,7,412
12391,17,3,57.55,19.183333333333334,57,2011-12-10 18:30:00,4,2,2,8,422
12392,88,4,127.88,31.97,130,2011-12-10 18:30:00,2,3,3,8,233
12393,18,6,417.51,69.585,219,2011-12-10 18:30:00,4,3,4,11,434
12394,259,1,1.62,1.62,259,2011-12-10 18:30:00,1,1,1,3,111
12395,16,15,1408.29,93.886,396,2011-12-10 18:30:00,5,5,5,15,555
12396,9,13,1430.71,110.05461538461539,450,2011-12-10 18:30:00,5,5,5,15,555
12397,17,16,3049.25,190.578125,468,2011-12-10 18:30:00,4,5,5,14,455
12398,235,1,11.72,11.72,235,2011-12-10 18:30:00,1,1,1,3,111
12399,407,4,25.95,6.4875,452,2011-12-10 18:30:00,1,3,2,6,132
12400,271,3,14.68,4.8933333333333335,335,2011-12-10 18:30:00,1,2,1,4,121
12401,388,3,36.82,12.273333333333333,452,2011-12-10 18:30:00,1,2,2,5,122
12402,258,8,189.22,23.6525,492,2011-12-10 18:30:00,1,4,3,8,143
12403,227,7,140.86,20.122857142857146,350,2011-12-10 18:30:00,1,4,3,8,143
12404,54,18,1459.5,81.08333333333333,614,2011-12-10 18:30:00,3,5,5,13,355
12405,2,9,1255.3700000000001,139.48555555555558,260,2011-12-10 18:30:00,5,4,5,14,545
12406,383,2,46.36,23.18,411,2011-12-10 18:30:00,1,1,2,4,112
12407,168,4,216.61,54.1525,228,2011-12-10 18:30:00,2,3,3,8,233
12408,183,3,107.17,35.723333333333336,233,2011-12-10 18:30:00,1,2,3,6,123
12409,238,3,51.39,17.13,264,2011-12-10 18:30:00,1,2,2,5,122
12410,230,1,8.5,8.5,230,2011-12-10 18:30:00,1,1,1,3,111
12411,228,4,230.14000000000001,57.535000000000004,296,2011-12-10 18:30:00,1,3,4,8,134
12412,90,4,52.16,13.04,124,2011-12-10 18:30:00,2,3,2,7,232
12413,57,6,263.34,43.88999999999999,177,2011-12-10 18:30:00,3,3,4,10,334
12414,7,32,12502.34,390.698125,711,2011-12-10 18:30:00,5,5,5,15,555
12415,215,4,130.3,32.575,284,2011-12-10 18:30:00,1,3,3,7,133
12416,31,9,315.78000000000003,35.08666666666667,206,2011-12-10 18:30:00,4,4,4,12,444
12417,2,7,123.19,17.59857142857143,136,2011-12-10 18:30:00,5,4,3,12,543
12418,8,2,9.46,4.73,28,2011-12-10 18:30:00,5,1,1,7,511
12419,34,8,539.9,67.4875,166,2011-12-10 18:30:00,4,4,4,12,444
12420,16,30,7896.54,263.218,591,2011-12-10 18:30:00,5,5,5,15,555
12421,14,9,468.44,52.04888888888889,178,2011-12-10 18:30:00,5,4,4,13,544
12422,48,8,510.95000000000005,63.868750000000006,258,2011-12-10 18:30:00,3,4,4,11,344
12423,161,2,74.5,37.25,170,2011-12-10 18:30:00,2,1,3,6,213
12424,97,7,199.32999999999998,28.475714285714282,301,2011-12-10 18:30:00,2,4,3,9,243
12425,255,2,29.31,14.655,282,2011-12-10 18:30:00,1,1,2,4,112
12426,437,2,35.349999999999994,17.674999999999997,480,2011-12-10 18:30:00,1,1,2,4,112
12427,243,8,60.72,7.59,313,2011-12-10 18:30:00,1,4,2,7,142
12428,404,3,24.439999999999998,8.146666666666667,478,2011-12-10 18:30:00,1,2,2,5,122
12429,52,13,925.01,71.15461538461538,380,2011-12-10 18:30:00,3,5,5,13,355
12430,24,33,8862.57,268.5627272727273,654,2011-12-10 18:30:00,4,5,5,14,455
12431,55,11,1543.76,140.34181818181818,352,2011-12-10 18:30:00,3,5,5,13,355
12432,193,2,56.75,28.375,214,2011-12-10 18:30:00,1,1,2,4,112
12433,260,5,99.45,19.89,296,2011-12-10 18:30:00,1,3,3,7,133
12434,5,10,1409.5,140.95,306,2011-12-10 18:30:00,5,5,5,15,555
12436,39,8,643.28,80.41,126,2011-12-10 18:30:00,3,4,4,11,344
12437,189,4,58.019999999999996,14.504999999999999,259,2011-12-10 18:30:00,1,3,2,6,132
12438,202,7,124.47,17.78142857142857,313,2011-12-10 18:30:00,1,4,3,8,143
12439,12,6,263.15,43.85833333333333,180,2011-12-10 18:30:00,5,3,4,12,534
12440,42,4,199.53,49.8825,138,2011-12-10 18:30:00,3,3,3,9,333
12441,375,2,25.02,12.51,387,2011-12-10 18:30:00,1,1,2,4,112
12442,40,7,461.01,65.85857142857142,216,2011-12-10 18:30:00,3,4,4,11,344
12443,20,16,1677.48,104.8425,553,2011-12-10 18:30:00,4,5,5,14,455
12444,27,10,1641.49,164.149,279,2011-12-10 18:30:00,4,5,5,14,455
12445,7,1,11.61,11.61,7,2011-12-10 18:30:00,5,1,1,7,511
12446,17,1,9.719999999999999,9.719999999999999,17,2011-12-10 18:30:00,4,1,1,6,411
12447,7,1,2.68,2.68,7,2011-12-10 18:30:00,5,1,1,7,511
12448,83,7,285.2,40.74285714285714,149,2011-12-10 18:30:00,2,4,4,10,244
12449,34,3,25.669999999999998,8.556666666666667,68,2011-12-10 18:30:00,4,2,2,8,422
12450,120,3,50.08,16.69333333333333,150,2011-12-10 18:30:00,2,2,2,6,222
12451,373,3,47.41,15.803333333333333,379,2011-12-10 18:30:00,1,2,2,5,122
12452,188,2,14.360000000000001,7.180000000000001,196,2011-12-10 18:30:00,1,1,1,3,111
12453,18,7,158.83999999999997,22.691428571428567,174,2011-12-10 18:30:00,4,4,3,11,443
12454,57,12,1226.28,102.19,273,2011-12-10 18:30:00,3,5,5,13,355
12455,36,1,9.62,9.62,36,2011-12-10 18:30:00,3,1,1,5,311
12456,218,3,50.62,16.87333333333333,276,2011-12-10 18:30:00,1,2,2,5,122
12457,15,9,422.0,46.888888888888886,253,2011-12-10 18:30:00,5,4,4,13,544
12458,20,5,300.67,60.134,77,2011-12-10 18:30:00,4,3,4,11,434
12459,98,4,137.53,34.3825,132,2011-12-10 18:30:00,2,3,3,8,233
12460,60,9,821.3,91.25555555555555,356,2011-12-10 18:30:00,3,4,4,11,344
12461,7,1,9.28,9.28,7,2011-12-10 18:30:00,5,1,1,7,511
12462,423,3,38.38,12.793333333333335,432,2011-12-10 18:30:00,1,2,2,5,122
12463,303,1,4.8,4.8,303,2011-12-10 18:30:00,1,1,1,3,111
12464,145,3,72.71000000000001,24.236666666666668,229,2011-12-10 18:30:00,2,2,3,7,223
12465,444,3,39.68,13.226666666666667,511,2011-12-10 18:30:00,1,2,2,5,122
12466,79,3,78.49,26.16333333333333,121,2011-12-10 18:30:00,2,2,3,7,223
12467,15,1,18.93,18.93,15,2011-12-10 18:30:00,5,1,1,7,511
12468,8,13,913.15,70.24230769230769,377,2011-12-10 18:30:00,5,5,5,15,555
12469,241,5,50.48,10.096,331,2011-12-10 18:30:00,1,3,2,6,132
12470,16,28,5278.48,188.51714285714283,712,2011-12-10 18:30:00,5,5,5,15,555
12471,126,7,135.83,19.404285714285717,274,2011-12-10 18:30:00,2,4,3,9,243
12472,87,4,137.91,34.4775,161,2011-12-10 18:30:00,2,3,3,8,233
12473,27,10,517.11,51.711,355,2011-12-10 18:30:00,4,5,4,13,454
12474,3,15,2045.56,136.37066666666666,354,2011-12-10 18:30:00,5,5,5,15,555
12475,151,7,231.57,33.08142857142857,318,2011-12-10 18:30:00,2,4,4,10,244
12476,21,12,944.94,78.745,390,2011-12-10 18:30:00,4,5,5,14,455
12477,40,2,29.25,14.625,81,2011-12-10 18:30:00,3,1,2,6,312
12478,225,2,51.01,25.505,265,2011-12-10 18:30:00,1,1,2,4,112
12479,84,8,504.87,63.10875,365,2011-12-10 18:30:00,2,4,4,10,244
12480,192,6,164.59,27.43166666666667,337,2011-12-10 18:30:00,1,3,3,7,133
12481,19,28,7922.92,282.9614285714286,718,2011-12-10 18:30:00,4,5,5,14,455
12482,2,1,6.66,6.66,2,2011-12-10 18:30:00,5,1,1,7,511
12483,151,7,179.95,25.707142857142856,323,2011-12-10 18:30:00,2,4,3,9,243
12484,119,3,40.379999999999995,13.459999999999999,197,2011-12-10 18:30:00,2,2,2,6,222
12485,51,13,1634.76,125.75076923076924,400,2011-12-10 18:30:00,3,5,5,13,355
12486,141,8,95.66999999999999,11.958749999999998,229,2011-12-10 18:30:00,2,4,3,9,243
12487,5,5,214.46,42.892,57,2011-12-10 18:30:00,5,3,3,11,533
12488,9,3,32.230000000000004,10.743333333333334,40,2011-12-10 18:30:00,5,2,2,9,522
12489,129,4,78.06,19.515,237,2011-12-10 18:30:00,2,3,3,8,233
12490,124,4,151.49,37.8725,199,2011-12-10 18:30:00,2,3,3,8,233
12491,43,7,343.99,49.14142857142857,223,2011-12-10 18:30:00,3,4,4,11,344
12492,101,8,382.40999999999997,47.801249999999996,354,2011-12-10 18:30:00,2,4,4,10,244
12493,198,3,99.30000000000001,33.1,278,2011-12-10 18:30:00,1,2,3,6,123
12494,163,6,243.3,40.550000000000004,268,2011-12-10 18:30:00,2,3,4,9,234
12495,7,27,5751.35,213.01296296296297,720,2011-12-10 18:30:00,5,5,5,15,555
12496,15,2,22.05,11.025,34,2011-12-10 18:30:00,5,1,2,8,512
12497,1,2,8.05,4.025,25,2011-12-10 18:30:00,5,1,1,7,511
12498,48,12,1061.83,88.48583333333333,373,2011-12-10 18:30:00,3,5,5,13,355
12499,25,7,352.56,50.36571428571428,209,2011-12-10 18:30:00,4,4,4,12,444
12500,16,11,1693.46,153.9509090909091,268,2011-12-10 18:30:00,5,5,5,15,555
12501,413,1,37.89,37.89,413,2011-12-10 18:30:00,1,1,2,4,112
12502,111,9,341.97,37.99666666666667,311,2011-12-10 18:30:00,2,4,4,10,244
12503,2,3,85.36,28.453333333333333,41,2011-12-10 18:30:00,5,2,3,10,523
12504,318,1,30.540000000000003,30.540000000000003,318,2011-12-10 18:30:00,1,1,2,4,112
12505,308,3,39.41,13.136666666666665,388,2011-12-10 18:30:00,1,2,2,5,122
12506,33,9,743.6,82.62222222222222,248,2011-12-10 18:30:00,4,4,4,12,444
12508,82,5,174.07999999999998,34.815999999999995,202,2011-12-10 18:30:00,2,3,3,8,233
12509,16,19,4387.86,230.93999999999997,498,2011-12-10 18:30:00,5,5,5,15,555
12510,144,7,232.02,33.145714285714284,288,2011-12-10 18:30:00,2,4,4,10,244
12511,25,8,431.28,53.91,215,2011-12-10 18:30:00,4,4,4,12,444
12512,36,1,7.91,7.91,36,2011-12-10 18:30:00,3,1,1,5,311
12513,481,2,11.08,5.54,523,2011-12-10 18:30:00,1,1,1,3,111
12514,34,7,375.99,53.712857142857146,179,2011-12-10 18:30:00,4,4,4,12,444
12515,35,2,43.07,21.535,72,2011-12-10 18:30:00,3,1,2,6,312
12516,45,5,397.13,79.426,113,2011-12-10 18:30:00,3,3,4,10,334
12517,229,5,92.13,18.426,361,2011-12-10 18:30:00,1,3,3,7,133
12518,57,3,241.54999999999998,80.51666666666667,133,2011-12-10 18:30:00,3,2,4,9,324
12519,26,2,21.03,10.515,47,2011-12-10 18:30:00,4,1,2,7,412
12520,19,16,1892.07,118.254375,512,2011-12-10 18:30:00,4,5,5,14,455
12521,22,21,7563.68,360.1752380952381,577,2011-12-10 18:30:00,4,5,5,14,455
12522,2,3,134.85,44.949999999999996,65,2011-12-10 18:30:00,5,2,3,10,523
12523,35,1,1.62,1.62,35,2011-12-10 18:30:00,3,1,1,5,311
12525,349,2,28.42,14.21,388,2011-12-10 18:30:00,1,1,2,4,112
12526,34,3,17.59,5.863333333333333,42,2011-12-10 18:30:00,4,2,1,7,421
12527,7,2,43.08,21.54,17,2011-12-10 18:30:00,5,1,2,8,512
12528,33,3,155.09,51.696666666666665,72,2011-12-10 18:30:00,4,2,3,9,423
12529,41,10,507.81,50.781,349,2011-12-10 18:30:00,3,5,4,12,354
12530,500,3,26.1,8.700000000000001,572,2011-12-10 18:30:00,1,2,2,5,122
12531,130,3,78.56,26.186666666666667,164,2011-12-10 18:30:00,2,2,3,7,223
12532,79,7,316.98,45.28285714285715,274,2011-12-10 18:30:00,2,4,4,10,244
12533,6,15,1447.93,96.52866666666667,318,2011-12-10 18:30:00,5,5,5,15,555
12534,291,1,6.2700000000000005,6.2700000000000005,291,2011-12-10 18:30:00,1,1,1,3,111
12535,25,6,77.14,12.856666666666667,118,2011-12-10 18:30:00,4,3,3,10,433
12536,11,2,46.44,23.22,22,2011-12-10 18:30:00,5,1,2,8,512
12537,101,10,535.77,53.577,367,2011-12-10 18:30:00,2,5,4,11,254
12538,50,10,1060.69,106.069,239,2011-12-10 18:30:00,3,5,5,13,355
12539,35,1,12.31,12.31,35,2011-12-10 18:30:00,3,1,1,5,311
12540,20,13,1981.0,152.3846153846154,270,2011-12-10 18:30:00,4,5,5,14,455
12541,3,11,1138.3700000000001,103.48818181818183,363,2011-12-10 18:30:00,5,5,5,15,555
12542,229,2,87.44000000000001,43.720000000000006,259,2011-12-10 18:30:00,1,1,3,5,113
12543,4,1,20.94,20.94,4,2011-12-10 18:30:00,5,1,2,8,512
12544,25,15,1187.28,79.152,377,2011-12-10 18:30:00,4,5,5,14,455
12545,86,9,304.22,33.80222222222223,306,2011-12-10 18:30:00,2,4,4,10,244
12546,458,2,2.8600000000000003,1.4300000000000002,458,2011-12-10 18:30:00,1,1,1,3,111
12547,39,3,11.07,3.69,82,2011-12-10 18:30:00,3,2,1,6,321
12548,68,7,190.92000000000002,27.274285714285718,239,2011-12-10 18:30:00,3,4,3,10,343
12549,27,9,846.27,94.03,142,2011-12-10 18:30:00,4,4,5,13,445
12550,17,26,8395.46,322.90230769230766,638,2011-12-10 18:30:00,4,5,5,14,455
12551,79,6,310.82,51.803333333333335,168,2011-12-10 18:30:00,2,3,4,9,234
12552,47,17,1334.77,78.51588235294118,421,2011-12-10 18:30:00,3,5,5,13,355
12553,240,1,25.06,25.06,240,2011-12-10 18:30:00,1,1,2,4,112
12554,30,7,866.8199999999999,123.83142857142856,220,2011-12-10 18:30:00,4,4,5,13,445
12555,127,7,128.48,18.354285714285712,256,2011-12-10 18:30:00,2,4,3,9,243
12556,44,3,84.39,28.13,69,2011-12-10 18:30:00,3,2,3,8,323
12557,248,5,205.26,41.052,334,2011-12-10 18:30:00,1,3,3,7,133
12558,46,11,1436.86,130.62363636363636,298,2011-12-10 18:30:00,3,5,5,13,355
12559,233,1,24.330000000000002,24.330000000000002,233,2011-12-10 18:30:00,1,1,2,4,112
12560,272,2,35.91,17.955,314,2011-12-10 18:30:00,1,1,2,4,112
12561,264,3,45.75,15.25,353,2011-12-10 18:30:00,1,2,2,5,122
12562,25,19,2169.61,114.19000000000001,558,2011-12-10 18:30:00,4,5,5,14,455
12563,49,9,717.78,79.75333333333333,353,2011-12-10 18:30:00,3,4,4,11,344
12564,33,1,14.97,14.97,33,2011-12-10 18:30:00,4,1,1,6,411
12565,2,5,166.16,33.232,67,2011-12-10 18:30:00,5,3,3,11,533
12566,61,12,369.78,30.814999999999998,264,2011-12-10 18:30:00,3,5,4,12,354
12567,190,8,245.44,30.68,431,2011-12-10 18:30:00,1,4,4,9,144
12568,313,2,4.82,2.41,313,2011-12-10 18:30:00,1,1,1,3,111
12569,4,1,13.680000000000001,13.680000000000001,4,2011-12-10 18:30:00,5,1,1,7,511
12570,99,7,308.84999999999997,44.12142857142857,231,2011-12-10 18:30:00,2,4,4,10,244
12571,9,3,6.18,2.06,19,2011-12-10 18:30:00,5,2,1,8,521
12572,19,28,9198.28,328.51000000000005,610,2011-12-10 18:30:00,4,5,5,14,455
12573,143,4,147.58,36.895,236,2011-12-10 18:30:00,2,3,3,8,233
12574,242,1,6.779999999999999,6.779999999999999,242,2011-12-10 18:30:00,1,1,1,3,111
12575,32,13,1295.89,99.68384615384616,463,2011-12-10 18:30:00,4,5,5,14,455
12576,61,14,1292.66,92.33285714285715,444,2011-12-10 18:30:00,3,5,5,13,355
12577,91,6,228.63,38.105,222,2011-12-10 18:30:00,2,3,4,9,234
12578,11,1,9.379999999999999,9.379999999999999,11,2011-12-10 18:30:00,5,1,1,7,511
12579,5,2,32.11,16.055,37,2011-12-10 18:30:00,5,1,2,8,512
12580,21,1,20.52,20.52,21,2011-12-10 18:30:00,4,1,2,7,412
12581,101,2,27.02,13.51,121,2011-12-10 18:30:00,2,1,2,5,212
12582,76,6,247.99,41.33166666666667,158,2011-12-10 18:30:00,3,3,4,10,334
12583,405,1,8.52,8.52,405,2011-12-10 18:30:00,1,1,1,3,111
12584,13,27,7167.79,265.4737037037037,676,2011-12-10 18:30:00,5,5,5,15,555
12585,38,7,669.42,95.63142857142857,214,2011-12-10 18:30:00,3,4,4,11,344
12586,16,2,8.82,4.41,16,2011-12-10 18:30:00,5,1,1,7,511
12587,285,4,21.82,5.455,342,2011-12-10 18:30:00,1,3,2,6,132
12588,82,8,548.91,68.61375,339,2011-12-10 18:30:00,2,4,4,10,244
12589,69,6,448.5,74.75,225,2011-12-10 18:30:00,3,3,4,10,334
12590,186,11,194.58,17.68909090909091,385,2011-12-10 18:30:00,1,5,3,9,153
12591,34,2,11.75,5.875,41,2011-12-10 18:30:00,4,1,1,6,411
12592,11,7,138.41,19.77285714285714,159,2011-12-10 18:30:00,5,4,3,12,543
12593,199,4,121.24,30.31,287,2011-12-10 18:30:00,1,3,3,7,133
12594,105,8,270.53,33.81625,301,2011-12-10 18:30:00,2,4,4,10,244
12595,24,2,25.130000000000003,12.565000000000001,31,2011-12-10 18:30:00,4,1,2,7,412
12596,159,3,46.8,15.6,221,2011-12-10 18:30:00,2,2,2,6,222
12597,14,2,11.52,5.76,31,2011-12-10 18:30:00,5,1,1,7,511
12598,16,3,169.67000000000002,56.55666666666667,102,2011-12-10 18:30:00,5,2,3,10,523
12599,77,4,250.34,62.585,188,2011-12-10 18:30:00,3,3,4,10,334
12600,22,9,412.15999999999997,45.79555555555555,238,2011-12-10 18:30:00,4,4,4,12,444
12601,405,3,74.63,24.876666666666665,445,2011-12-10 18:30:00,1,2,3,6,123
12602,24,1,30.72,30.72,24,2011-12-10 18:30:00,4,1,2,7,412
12603,32,11,1638.6799999999998,148.9709090909091,333,2011-12-10 18:30:00,4,5,5,14,455
12604,1,16,2261.91,141.369375,397,2011-12-10 18:30:00,5,5,5,15,555
12605,218,2,14.14,7.07,241,2011-12-10 18:30:00,1,1,1,3,111
12606,17,10,1777.03,177.703,255,2011-12-10 18:30:00,4,5,5,14,455
12607,34,2,15.17,7.585,34,2011-12-10 18:30:00,4,1,1,6,411
12608,37,7,355.95,50.85,145,2011-12-10 18:30:00,3,4,4,11,344
12609,35,17,1520.3,89.42941176470588,695,2011-12-10 18:30:00,3,5,5,13,355
12610,35,2,31.42,15.71,55,2011-12-10 18:30:00,3,1,2,6,312
12611,42,13,2143.18,164.85999999999999,366,2011-12-10 18:30:00,3,5,5,13,355
12612,80,3,129.7,43.23333333333333,142,2011-12-10 18:30:00,2,2,3,7,223
12613,6,7,750.3000000000001,107.1857142857143,270,2011-12-10 18:30:00,5,4,4,13,544
12614,5,15,1480.05,98.67,533,2011-12-10 18:30:00,5,5,5,15,555
12615,25,16,3201.59,200.099375,421,2011-12-10 18:30:00,4,5,5,14,455
12616,7,27,9477.15,351.00555555555553,631,2011-12-10 18:30:00,5,5,5,15,555
12617,32,12,1260.2,105.01666666666667,384,2011-12-10 18:30:00,4,5,5,14,455
12618,11,24,5875.67,244.81958333333333,613,2011-12-10 18:30:00,5,5,5,15,555
12619,78,3,90.51,30.17,150,2011-12-10 18:30:00,2,2,3,7,223
12620,40,2,53.83,26.915,56,2011-12-10 18:30:00,3,1,2,6,312
12621,34,8,439.93,54.99125,244,2011-12-10 18:30:00,4,4,4,12,444
12622,23,3,111.51,37.17,57,2011-12-10 18:30:00,4,2,3,9,423
12623,64,2,46.7,23.35,91,2011-12-10 18:30:00,3,1,2,6,312
12624,33,1,9.92,9.92,33,2011-12-10 18:30:00,4,1,1,6,411
12625,2,2,48.5,24.25,14,2011-12-10 18:30:00,5,1,2,8,512
12626,1,20,6367.48,318.37399999999997,614,2011-12-10 18:30:00,5,5,5,15,555
12627,43,16,1328.51,83.031875,384,2011-12-10 18:30:00,3,5,5,13,355
12628,7,7,415.51,59.35857142857143,212,2011-12-10 18:30:00,5,4,4,13,544
12629,22,4,163.95,40.9875,116,2011-12-10 18:30:00,4,3,3,10,433
12630,19,6,119.45,19.908333333333335,133,2011-12-10 18:30:00,4,3,3,10,433
12631,181,6,131.11,21.85166666666667,309,2011-12-10 18:30:00,2,3,3,8,233
12632,22,15,3818.42,254.56133333333335,440,2011-12-10 18:30:00,4,5,5,14,455
12633,114,6,332.77,55.461666666666666,270,2011-12-10 18:30:00,2,3,4,9,234
12634,150,6,255.3,42.550000000000004,340,2011-12-10 18:30:00,2,3,4,9,234
12635,2,15,2502.33,166.822,326,2011-12-10 18:30:00,5,5,5,15,555
12636,12,2,6.3100000000000005,3.1550000000000002,54,2011-12-10 18:30:00,5,1,1,7,511
12637,22,29,5736.44,197.80827586206894,674,2011-12-10 18:30:00,4,5,5,14,455
12638,27,1,6.35,6.35,27,2011-12-10 18:30:00,4,1,1,6,411
12639,43,15,1776.25,118.41666666666667,406,2011-12-10 18:30:00,3,5,5,13,355
12640,24,2,14.64,7.32,30,2011-12-10 18:30:00,4,1,1,6,411
12641,36,4,4.11,1.0275,53,2011-12-10 18:30:00,3,3,1,7,331
12642,31,2,14.780000000000001,7.390000000000001,53,2011-12-10 18:30:00,4,1,1,6,411
12643,154,2,20.48,10.24,165,2011-12-10 18:30:00,2,1,2,5,212
12644,405,3,36.64,12.213333333333333,443,2011-12-10 18:30:00,1,2,2,5,122
12645,168,2,71.69,35.845,181,2011-12-10 18:30:00,2,1,3,6,213
12646,483,1,32.739999999999995,32.739999999999995,483,2011-12-10 18:30:00,1,1,2,4,112
12647,56,15,1262.88,84.19200000000001,584,2011-12-10 18:30:00,3,5,5,13,355
12648,203,3,157.72,52.57333333333333,291,2011-12-10 18:30:00,1,2,3,6,123
12649,51,2,92.59,46.295,69,2011-12-10 18:30:00,3,1,3,7,313
12650,1,1,18.32,18.32,1,2011-12-10 18:30:00,5,1,1,7,511
12651,181,5,65.07,13.014,301,2011-12-10 18:30:00,2,3,2,7,232
12652,69,3,264.9,88.3,145,2011-12-10 18:30:00,3,2,4,9,324
12653,78,2,69.4,34.7,117,2011-12-10 18:30:00,2,1,3,6,213
12654,50,8,523.4399999999999,65.42999999999999,239,2011-12-10 18:30:00,3,4,4,11,344
12655,38,17,1950.48,114.73411764705882,597,2011-12-10 18:30:00,3,5,5,13,355
12656,80,7,206.83999999999997,29.548571428571424,240,2011-12-10 18:30:00,2,4,3,9,243
12657,235,7,237.13,33.87571428571429,440,2011-12-10 18:30:00,1,4,4,9,144
12658,6,9,536.86,59.65111111111111,151,2011-12-10 18:30:00,5,4,4,13,544
12659,96,8,229.94,28.7425,167,2011-12-10 18:30:00,2,4,4,10,244
12660,45,5,255.99,51.198,141,2011-12-10 18:30:00,3,3,4,10,334
12661,113,4,174.53,43.6325,182,2011-12-10 18:30:00,2,3,3,8,233
12662,56,5,103.66,20.732,119,2011-12-10 18:30:00,3,3,3,9,333
12663,198,1,5.8,5.8,198,2011-12-10 18:30:00,1,1,1,3,111
12664,20,5,71.10000000000001,14.220000000000002,104,2011-12-10 18:30:00,4,3,3,10,433
12665,2,1,1.58,1.58,2,2011-12-10 18:30:00,5,1,1,7,511
12666,17,1,14.930000000000001,14.930000000000001,17,2011-12-10 18:30:00,4,1,1,6,411
12667,15,4,200.79999999999998,50.199999999999996,102,2011-12-10 18:30:00,5,3,3,11,533
12668,54,4,135.95,33.9875,100,2011-12-10 18:30:00,3,3,3,9,333
12669,147,2,64.6,32.3,181,2011-12-10 18:30:00,2,1,2,5,212
12670,14,2,21.65,10.825,50,2011-12-10 18:30:00,5,1,2,8,512
