area,location,rooms,bathrooms,garage,age,quality,renovated,price
1209.0,Rural,3,1.6,2.0,26.0,4,0,237900
1152.0,Downtown,3,1.4,1.0,27.0,6,0,329200
1092.0,Downtown,5,1.1,3.0,26.0,6,0,374700
1227.0,Suburb,3,1.5,2.0,19.0,5,0,315800
2161.0,Downtown,6,1.8,1.0,21.0,6,1,470300
1015.0,Rural,4,1.6,0.0,40.0,6,0,214600
1826.0,Suburb,5,2.2,3.0,68.0,6,1,360100
782.0,Suburb,2,1.0,2.0,13.0,4,1,218000
1203.0,Rural,5,1.1,2.0,26.0,6,0,248300
1411.0,Suburb,5,1.0,3.0,11.0,5,1,351500
1616.0,Rural,5,1.7,3.0,19.0,7,0,325800
1682.0,Suburb,4,,2.0,22.0,6,1,385300
1727.0,Suburb,7,1.5,2.0,32.0,6,1,403700
1198.0,Suburb,4,1.6,2.0,32.0,5,1,314200
1155.0,Downtown,5,1.7,,28.0,6,0,379800
1763.0,Waterfront,6,,3.0,38.0,8,0,746500
1260.0,Suburb,4,1.3,2.0,14.0,6,0,332200
890.0,Rural,2,1.1,3.0,32.0,8,1,223500
932.0,Waterfront,4,1.0,2.0,47.0,7,0,576000
998.0,Suburb,4,1.0,2.0,14.0,8,0,320800
1570.0,Rural,4,1.5,4.0,5.0,8,0,309600
1402.0,Suburb,5,1.5,3.0,55.0,8,0,336900
1671.0,Downtown,5,1.9,3.0,11.0,5,0,471500
1168.0,Waterfront,3,,1.0,19.0,7,0,579400
1409.0,Suburb,5,1.6,4.0,46.0,8,0,370500
1636.0,Rural,4,1.3,2.0,13.0,8,0,327300
1213.0,Suburb,3,1.6,2.0,53.0,5,0,288200
1550.0,Downtown,4,1.7,0.0,,7,0,456000
1084.0,Suburb,3,2.1,2.0,15.0,6,0,326500
1193.0,Downtown,4,1.2,1.0,11.0,9,1,415100
1185.0,Downtown,3,1.4,2.0,17.0,4,0,329400
914.0,Rural,4,2.0,1.0,42.0,5,0,199400
1565.0,Downtown,5,1.8,3.0,19.0,4,0,418600
1153.0,Waterfront,5,1.3,2.0,56.0,6,0,580600
1345.0,Suburb,4,1.1,4.0,29.0,9,1,360300
1562.0,Suburb,4,2.3,1.0,31.0,6,1,338100
1545.0,Suburb,6,1.3,3.0,14.0,6,0,379500
1657.0,Downtown,5,2.0,1.0,61.0,7,0,372900
1298.0,Suburb,4,1.3,2.0,47.0,6,0,296600
1170.0,Suburb,4,1.2,1.0,46.0,6,1,247700
1306.0,Suburb,3,1.0,2.0,25.0,7,0,343500
781.0,Suburb,3,1.3,2.0,9.0,5,1,289400
843.0,Downtown,3,1.0,1.0,32.0,6,0,295100
877.0,Suburb,4,1.0,1.0,41.0,7,1,302900
973.0,Suburb,4,1.5,2.0,41.0,7,0,308300
1522.0,Downtown,6,1.5,2.0,37.0,8,0,434200
1002.0,Rural,3,1.2,3.0,36.0,6,0,213100
1187.0,Downtown,3,1.6,2.0,,6,0,357900
2030.0,Downtown,8,2.4,3.0,17.0,8,1,551900
1195.0,Suburb,3,1.0,1.0,11.0,5,0,298200
1696.0,Suburb,4,2.1,2.0,56.0,5,0,350500
994.0,Waterfront,4,1.1,3.0,91.0,6,1,532900
1254.0,Rural,5,1.3,2.0,130.0,4,0,156100
988.0,Rural,3,1.1,1.0,34.0,6,0,221300
1202.0,Suburb,4,1.0,3.0,36.0,7,0,312400
1753.0,Suburb,4,2.0,2.0,26.0,5,0,372400
771.0,Downtown,2,1.0,1.0,33.0,6,1,267000
1539.0,Rural,3,1.6,2.0,13.0,5,0,268500
1445.0,Suburb,5,1.7,2.0,25.0,5,1,384100
1108.0,Suburb,2,1.6,2.0,15.0,9,0,319300
843.0,Suburb,2,1.0,2.0,23.0,4,0,247700
1371.0,Rural,5,2.0,1.0,16.0,4,1,249700
1131.0,Suburb,4,1.6,2.0,41.0,6,1,260200
1443.0,Downtown,4,1.5,3.0,44.0,7,0,404200
1349.0,Waterfront,5,1.1,2.0,36.0,7,0,640800
2236.0,Downtown,7,2.0,3.0,17.0,9,0,569300
1241.0,Waterfront,4,1.5,2.0,10.0,5,1,675500
965.0,Suburb,2,1.0,2.0,45.0,5,0,250200
1419.0,Waterfront,5,2.0,1.0,29.0,8,0,707100
1437.0,Rural,5,1.4,1.0,5.0,7,0,273500
2069.0,Suburb,7,2.0,1.0,32.0,8,1,462600
1750.0,Rural,6,2.0,1.0,37.0,6,0,290600
1501.0,Downtown,4,1.4,3.0,7.0,8,1,414000
2139.0,Downtown,7,,3.0,41.0,8,1,544200
916.0,Suburb,3,1.4,4.0,8.0,6,0,321200
1091.0,Suburb,3,1.3,1.0,16.0,5,0,313400
996.0,Downtown,3,1.1,3.0,8.0,6,0,391900
1182.0,Suburb,3,1.4,3.0,14.0,8,0,356500
862.0,Waterfront,3,1.0,2.0,10.0,4,1,563500
1641.0,Rural,4,2.0,2.0,56.0,5,0,274700
1247.0,Downtown,3,1.4,3.0,24.0,5,0,340200
837.0,Suburb,2,1.2,2.0,20.0,5,0,223800
968.0,Downtown,4,1.3,2.0,59.0,6,1,296300
1481.0,Downtown,5,1.6,1.0,57.0,8,0,416200
1751.0,Waterfront,4,2.3,0.0,22.0,7,1,732900
2538.0,Waterfront,9,2.7,2.0,35.0,7,0,935200
3403.0,Downtown,12,3.9,1.0,18.0,8,0,742100
1529.0,Downtown,4,1.6,1.0,27.0,7,0,413900
976.0,Suburb,1,1.2,2.0,12.0,3,1,235900
677.0,Suburb,2,1.0,1.0,39.0,7,1,245800
1459.0,Downtown,5,2.2,3.0,61.0,5,0,359100
1033.0,Downtown,4,1.9,2.0,54.0,5,0,338900
1173.0,Suburb,3,1.6,2.0,30.0,6,1,330600
1101.0,Downtown,5,1.8,2.0,5.0,6,1,375100
1280.0,Rural,2,1.0,1.0,18.0,7,0,275000
1884.0,Rural,6,1.6,3.0,27.0,7,1,338900
1408.0,Suburb,4,1.5,2.0,9.0,6,1,329000
1273.0,Suburb,5,1.4,2.0,8.0,8,0,359900
962.0,Rural,4,1.0,2.0,72.0,7,0,216100
784.0,Downtown,3,1.0,1.0,50.0,6,0,252800
1146.0,Rural,3,1.7,1.0,41.0,7,0,227300
1317.0,Downtown,5,2.2,3.0,46.0,5,1,343800
2358.0,Waterfront,8,3.1,3.0,10.0,10,0,944800
1396.0,Downtown,3,1.9,2.0,14.0,5,0,368600
1834.0,Rural,4,2.1,2.0,34.0,7,0,292400
1142.0,Downtown,4,1.0,,35.0,6,1,341700
917.0,Rural,3,1.0,3.0,8.0,5,0,241700
984.0,Suburb,2,1.8,2.0,32.0,5,0,265500
,Downtown,3,1.1,1.0,27.0,5,0,331600
2647.0,Rural,9,2.8,1.0,53.0,9,1,432600
1030.0,Downtown,3,1.5,2.0,36.0,4,0,279800
1752.0,Suburb,4,2.4,3.0,77.0,8,0,354000
1003.0,Suburb,4,1.0,1.0,22.0,7,1,314700
1805.0,Rural,6,1.9,2.0,11.0,6,0,311200
1515.0,Rural,4,1.5,2.0,76.0,7,1,262200
,Suburb,4,1.4,2.0,37.0,6,0,341800
1322.0,Rural,4,1.9,2.0,27.0,5,1,231500
1086.0,Rural,3,1.0,1.0,14.0,4,0,205300
1545.0,Suburb,5,2.1,3.0,22.0,7,0,378900
1158.0,Suburb,3,1.3,2.0,21.0,7,0,307500
905.0,Suburb,3,1.8,4.0,11.0,6,1,296400
890.0,Downtown,2,1.1,1.0,3.0,5,1,309500
1415.0,Suburb,4,1.5,3.0,21.0,6,0,347900
2220.0,Downtown,8,,3.0,47.0,6,0,512600
1410.0,Rural,4,1.4,2.0,64.0,4,0,231900
1290.0,Suburb,4,,2.0,54.0,6,0,295200
1468.0,Suburb,3,1.5,,56.0,7,0,340100
2034.0,Downtown,6,2.2,1.0,12.0,7,1,499500
1437.0,Downtown,5,1.0,2.0,34.0,9,0,394900
1174.0,Rural,4,,2.0,41.0,5,1,220200
1908.0,Suburb,4,,1.0,43.0,6,0,384100
1536.0,Waterfront,5,1.6,4.0,27.0,6,1,744600
2190.0,Suburb,7,2.5,2.0,31.0,7,0,483500
1420.0,Downtown,5,1.6,2.0,53.0,3,0,340800
905.0,Suburb,2,1.0,1.0,40.0,7,1,279200
865.0,Rural,1,1.0,2.0,45.0,6,0,202700
2272.0,Downtown,6,2.3,2.0,20.0,4,1,491500
2325.0,Suburb,6,2.6,2.0,43.0,7,1,462800
1265.0,Downtown,4,1.4,2.0,31.0,5,1,414700
1185.0,Downtown,2,1.0,3.0,50.0,5,1,341700
2138.0,Downtown,6,2.5,2.0,16.0,5,0,509100
940.0,Suburb,4,1.1,3.0,47.0,6,0,282700
1006.0,Rural,3,1.1,2.0,22.0,8,1,223000
1646.0,Downtown,6,2.7,2.0,47.0,7,0,418300
1181.0,Rural,3,1.3,2.0,34.0,3,0,188900
1337.0,Rural,3,1.4,3.0,29.0,6,0,259700
1271.0,Suburb,5,1.3,2.0,23.0,6,1,326800
1492.0,Downtown,5,1.3,2.0,27.0,5,0,390900
2101.0,Suburb,7,2.6,2.0,21.0,7,0,450500
1379.0,Downtown,4,1.3,2.0,23.0,7,1,372100
1646.0,Waterfront,5,1.6,2.0,39.0,5,1,716300
695.0,Rural,1,1.0,2.0,6.0,3,0,141400
1319.0,Downtown,5,1.1,2.0,47.0,3,0,308500
1023.0,Suburb,5,,3.0,47.0,5,1,252600
907.0,Downtown,3,1.0,3.0,24.0,6,0,304000
1011.0,Downtown,3,,3.0,32.0,5,0,323700
1204.0,Suburb,2,1.4,2.0,13.0,5,1,334100
1796.0,Downtown,4,2.5,3.0,38.0,7,0,423000
,Downtown,4,1.2,0.0,15.0,6,0,303100
1353.0,Suburb,4,1.7,3.0,1.0,6,0,328100
1147.0,Suburb,3,1.9,1.0,63.0,7,0,268600
1206.0,Suburb,4,1.3,1.0,12.0,5,0,309300
1846.0,Suburb,7,2.1,2.0,27.0,5,0,409400
1591.0,Suburb,5,1.8,,33.0,6,1,328900
2055.0,Suburb,6,2.8,1.0,39.0,6,1,433700
1275.0,Suburb,4,1.4,2.0,29.0,3,0,269500
1072.0,Waterfront,3,1.0,3.0,35.0,5,0,534700
1247.0,Downtown,3,1.6,1.0,23.0,8,0,384500
,Suburb,5,1.3,2.0,7.0,7,0,382800
1417.0,Downtown,5,1.8,2.0,28.0,7,0,404100
,Suburb,4,1.2,3.0,43.0,6,0,252000
1379.0,Suburb,5,,3.0,13.0,8,0,374100
1441.0,Rural,5,1.8,1.0,33.0,5,0,242100
2998.0,Waterfront,9,2.8,3.0,87.0,6,0,948300
2442.0,Suburb,8,2.8,2.0,27.0,8,1,534000
1019.0,Downtown,3,1.0,2.0,28.0,6,1,353900
1222.0,Rural,4,2.4,1.0,7.0,5,1,255900
839.0,Downtown,3,1.0,2.0,11.0,7,1,360200
,Suburb,4,1.0,4.0,15.0,5,0,289500
1482.0,Rural,6,1.2,2.0,42.0,5,0,280600
1970.0,Suburb,7,2.6,2.0,13.0,5,1,414900
1061.0,Suburb,4,1.1,2.0,5.0,6,0,274600
1086.0,Downtown,4,1.0,1.0,37.0,6,0,352100
674.0,Downtown,3,1.0,3.0,16.0,8,1,315400
1271.0,Waterfront,3,1.6,2.0,7.0,6,1,671700
953.0,Downtown,4,1.3,1.0,45.0,5,1,278800
1131.0,Suburb,3,1.3,1.0,21.0,8,0,361300
1012.0,Suburb,3,1.2,2.0,39.0,7,1,323400
1300.0,Suburb,4,1.5,3.0,7.0,6,0,374300
763.0,Downtown,3,1.0,1.0,,4,0,288900
838.0,Downtown,2,1.1,3.0,31.0,5,1,317800
,Suburb,8,3.3,2.0,11.0,5,0,517200
887.0,Suburb,3,1.0,1.0,30.0,6,1,286000
943.0,Rural,3,1.0,,31.0,5,1,197700
2411.0,Suburb,8,2.6,3.0,28.0,9,1,552900
3394.0,Waterfront,12,4.0,1.0,56.0,5,0,1033800
921.0,Suburb,3,1.0,1.0,130.0,4,0,150500
1191.0,Suburb,3,1.0,3.0,37.0,6,1,298300
1494.0,Waterfront,4,2.0,2.0,87.0,7,0,626400
2329.0,Rural,7,3.1,1.0,,3,0,339400
977.0,Suburb,2,1.0,3.0,9.0,3,0,271300
1238.0,Suburb,4,1.4,3.0,17.0,6,0,321200
1718.0,Rural,6,1.8,2.0,23.0,8,1,337800
1539.0,Downtown,4,1.6,2.0,91.0,9,0,409700
1188.0,Suburb,5,1.4,2.0,29.0,5,1,310300
,Suburb,3,1.0,2.0,57.0,6,0,328000
863.0,Rural,3,1.0,1.0,20.0,5,0,210100
1241.0,Suburb,4,1.3,3.0,18.0,7,0,377500
1230.0,Suburb,4,1.3,3.0,6.0,8,1,364300
1443.0,Waterfront,5,,2.0,90.0,8,0,573600
1121.0,Downtown,4,1.5,2.0,70.0,6,0,295500
1558.0,Rural,6,1.6,3.0,33.0,5,0,266300
1852.0,Downtown,5,1.9,4.0,24.0,6,0,448900
1408.0,Rural,5,1.7,3.0,30.0,8,0,253400
1499.0,Suburb,5,1.6,1.0,9.0,6,0,380800
1362.0,Downtown,5,1.8,2.0,39.0,4,0,317200
1339.0,Suburb,3,1.2,2.0,66.0,6,1,312400
1063.0,Rural,3,,2.0,,6,0,224700
1482.0,Suburb,5,1.5,3.0,7.0,4,1,344200
1298.0,Downtown,2,1.5,3.0,57.0,6,1,356800
2617.0,Downtown,9,2.5,1.0,9.0,8,1,610000
2216.0,Suburb,8,2.0,2.0,3.0,9,1,526900
1515.0,Suburb,4,1.7,1.0,58.0,4,0,276700
1049.0,Suburb,3,1.0,2.0,19.0,7,0,300900
938.0,Downtown,2,1.0,2.0,53.0,7,0,321400
1961.0,Rural,6,2.5,3.0,50.0,7,0,325100
1457.0,Suburb,4,1.4,1.0,46.0,5,1,287200
1562.0,Downtown,4,,0.0,30.0,5,0,410600
766.0,Suburb,2,1.0,1.0,10.0,6,0,234000
1802.0,Suburb,5,2.1,1.0,23.0,7,0,402400
1549.0,Waterfront,5,1.6,1.0,69.0,5,1,642000
939.0,Suburb,4,1.0,2.0,54.0,8,0,277400
1152.0,Downtown,3,,1.0,24.0,5,0,379800
1457.0,Rural,5,1.6,1.0,23.0,4,0,262100
1362.0,Suburb,4,1.6,1.0,43.0,6,1,316400
1220.0,Waterfront,3,1.0,1.0,31.0,7,1,644100
1296.0,Suburb,3,1.4,2.0,24.0,7,0,335300
1236.0,Rural,3,1.0,2.0,41.0,6,1,234400
1406.0,Rural,4,1.6,3.0,40.0,8,0,278100
2145.0,Rural,7,,1.0,17.0,5,0,336700
589.0,Downtown,3,1.0,2.0,36.0,5,0,255600
1242.0,Rural,3,1.8,2.0,38.0,8,0,246000
1417.0,Rural,4,1.7,,28.0,3,1,219400
1473.0,Suburb,4,1.9,2.0,16.0,6,0,377700
1189.0,Suburb,4,1.2,3.0,22.0,8,1,335900
763.0,Suburb,3,1.8,1.0,13.0,7,0,278400
1488.0,Waterfront,4,1.2,2.0,37.0,7,0,654000
2328.0,Rural,7,2.4,2.0,7.0,8,0,387400
820.0,Suburb,4,1.2,1.0,74.0,4,1,186700
1766.0,Suburb,6,2.2,2.0,64.0,8,0,400000
1206.0,Downtown,3,1.5,3.0,39.0,4,0,351400
1313.0,Suburb,4,1.7,1.0,52.0,4,0,280000
956.0,Rural,2,1.0,2.0,50.0,6,0,183300
1203.0,Suburb,4,1.9,1.0,32.0,5,0,265200
2030.0,Rural,7,2.2,1.0,25.0,7,1,359700
1614.0,Suburb,4,2.2,1.0,23.0,7,0,363200
2332.0,Suburb,7,1.9,2.0,75.0,9,0,432400
1952.0,Rural,6,2.3,2.0,15.0,7,1,349600
1541.0,Downtown,5,1.5,2.0,15.0,5,1,409600
2340.0,Waterfront,8,2.8,1.0,55.0,8,1,830700
1541.0,Waterfront,5,1.8,1.0,52.0,5,0,600000
1746.0,Rural,5,2.1,2.0,24.0,8,1,331700
1218.0,Rural,4,1.0,1.0,42.0,6,0,214900
1368.0,Suburb,4,1.5,2.0,45.0,7,0,336400
1072.0,Suburb,2,1.1,2.0,9.0,3,0,271700
1838.0,Rural,4,2.2,1.0,67.0,3,0,265100
919.0,Suburb,3,1.4,2.0,45.0,4,0,222700
1720.0,Rural,5,2.0,1.0,39.0,9,1,320600
1260.0,Downtown,4,1.0,,46.0,4,0,340900
1948.0,Rural,5,2.2,2.0,36.0,8,0,323600
1703.0,Suburb,5,2.8,2.0,27.0,5,0,396600
2399.0,Rural,8,3.2,3.0,32.0,6,0,359300
1692.0,Suburb,5,1.0,2.0,9.0,6,1,377500
810.0,Suburb,3,1.0,2.0,95.0,8,1,197300
1311.0,Waterfront,4,1.8,3.0,27.0,7,1,662800
921.0,Suburb,3,1.0,3.0,94.0,6,1,223600
1135.0,Downtown,4,1.1,1.0,32.0,8,0,376600
2172.0,Downtown,7,2.3,2.0,18.0,6,0,512800
1643.0,Suburb,5,2.0,3.0,66.0,8,0,355600
1071.0,Suburb,3,1.0,2.0,38.0,7,1,268800
968.0,Suburb,3,1.5,2.0,116.0,7,0,193600
1354.0,Downtown,5,1.5,3.0,18.0,6,0,405100
908.0,Downtown,2,1.0,2.0,67.0,5,0,276600
1081.0,Rural,3,1.6,2.0,70.0,5,0,182200
1480.0,Suburb,4,1.1,2.0,48.0,5,1,342300
1939.0,Downtown,6,2.0,1.0,70.0,5,1,400800
1628.0,Downtown,4,1.6,1.0,27.0,7,0,414200
643.0,Downtown,1,1.5,1.0,15.0,5,0,261300
,Rural,5,1.4,3.0,,7,0,311300
1371.0,Rural,5,1.0,3.0,31.0,7,0,270100
1529.0,Suburb,4,1.5,3.0,50.0,5,0,294100
2247.0,Suburb,7,2.7,2.0,16.0,5,0,474500
692.0,Rural,3,1.0,2.0,23.0,5,0,206600
1109.0,Suburb,4,2.0,2.0,17.0,5,1,306200
1618.0,Suburb,5,2.3,2.0,56.0,5,1,328200
807.0,Suburb,2,1.0,2.0,93.0,8,0,233600
2148.0,Waterfront,7,2.1,1.0,13.0,4,1,867300
1507.0,Suburb,5,2.2,1.0,43.0,9,1,393300
1756.0,Suburb,6,1.8,,60.0,7,0,336500
1116.0,Rural,3,1.0,3.0,25.0,7,0,251800
1738.0,Downtown,5,1.8,3.0,9.0,8,0,491200
1885.0,Suburb,6,1.7,0.0,65.0,7,0,353100
1443.0,Suburb,5,1.4,3.0,8.0,8,0,410100
1444.0,Waterfront,5,,2.0,78.0,5,0,603300
1460.0,Downtown,5,1.9,3.0,17.0,6,1,451200
1016.0,Suburb,4,1.0,2.0,7.0,5,1,280600
1278.0,Rural,4,1.0,3.0,21.0,4,0,242700
1276.0,Rural,5,1.0,2.0,29.0,5,1,231100
1514.0,Suburb,4,1.8,,34.0,9,1,383300
1844.0,Downtown,7,2.1,2.0,45.0,6,0,475400
955.0,Downtown,4,1.0,,36.0,9,0,321400
1287.0,Suburb,4,1.3,2.0,88.0,9,1,282800
2152.0,Downtown,8,2.5,3.0,28.0,10,1,589300
1056.0,Rural,4,1.7,2.0,37.0,9,1,253100
1030.0,Rural,3,1.0,2.0,35.0,9,0,255400
1429.0,Rural,4,1.6,1.0,6.0,7,1,276700
1755.0,Downtown,6,2.3,2.0,11.0,7,0,476200
1344.0,Suburb,5,1.2,2.0,31.0,7,0,350300
2049.0,Rural,6,2.3,0.0,40.0,7,0,329500
1762.0,Downtown,5,1.9,1.0,4.0,7,1,440500
1754.0,Downtown,6,1.5,0.0,91.0,7,0,436600
1599.0,Suburb,5,1.8,2.0,42.0,6,0,357100
2821.0,Downtown,10,3.1,3.0,30.0,5,1,585900
1254.0,Downtown,4,1.6,1.0,41.0,7,0,366500
705.0,Suburb,2,1.0,3.0,20.0,5,1,256800
2238.0,Rural,8,2.5,4.0,34.0,6,0,381200
1157.0,Downtown,3,1.8,3.0,38.0,6,0,366600
1386.0,Suburb,5,2.3,2.0,66.0,6,0,308100
2037.0,Suburb,5,2.7,3.0,26.0,8,1,428700
802.0,Suburb,2,1.0,1.0,9.0,6,1,277700
897.0,Suburb,4,1.2,1.0,15.0,7,0,259500
802.0,Downtown,4,1.0,2.0,25.0,6,1,337200
1039.0,Downtown,3,1.3,2.0,10.0,6,1,341600
1542.0,Suburb,4,1.4,3.0,13.0,6,0,380500
1584.0,Waterfront,5,1.2,2.0,15.0,4,0,661200
1463.0,Suburb,4,1.5,2.0,24.0,7,1,354400
852.0,Suburb,2,1.2,2.0,42.0,7,0,243500
640.0,Waterfront,3,1.0,2.0,23.0,7,1,560300
1363.0,Rural,4,1.7,2.0,44.0,4,0,220200
1152.0,Rural,2,1.4,1.0,30.0,4,1,222300
1552.0,Suburb,4,1.9,2.0,14.0,5,1,354000
1677.0,Rural,5,2.0,2.0,38.0,8,0,300500
1400.0,Suburb,3,1.5,2.0,34.0,6,0,326300
1708.0,Suburb,5,1.9,3.0,45.0,5,1,369200
1441.0,Rural,4,2.2,3.0,51.0,4,1,232100
1587.0,Suburb,6,1.8,3.0,67.0,5,0,342500
1069.0,Waterfront,5,1.2,1.0,43.0,5,0,548600
1265.0,Waterfront,3,1.4,2.0,33.0,7,1,661900
1426.0,Suburb,5,1.5,1.0,45.0,8,0,343000
1742.0,Downtown,5,1.8,2.0,21.0,5,0,443400
1181.0,Rural,3,1.4,1.0,20.0,7,0,238200
1583.0,Suburb,6,1.6,3.0,73.0,7,1,336300
1230.0,Suburb,4,1.3,3.0,19.0,4,0,313000
1290.0,Downtown,4,1.2,3.0,15.0,6,1,384000
1747.0,Rural,5,2.0,3.0,43.0,7,0,324600
708.0,Waterfront,3,1.0,2.0,21.0,6,1,541000
885.0,Downtown,1,1.0,2.0,51.0,3,0,216200
834.0,Rural,2,1.0,3.0,64.0,6,1,171300
635.0,Rural,2,1.0,2.0,17.0,7,1,182800
1078.0,Downtown,3,1.2,1.0,47.0,8,1,364000
1702.0,Downtown,6,1.5,3.0,19.0,5,0,451600
1223.0,Suburb,5,1.6,2.0,25.0,5,0,310100
1427.0,Rural,3,1.1,3.0,37.0,6,0,258800
1898.0,Suburb,7,2.5,2.0,20.0,7,0,430500
2048.0,Downtown,5,2.3,2.0,35.0,7,1,510900
1310.0,Downtown,5,1.0,3.0,27.0,7,1,409700
2066.0,Suburb,7,2.4,1.0,52.0,5,1,417000
1380.0,Downtown,4,1.4,2.0,52.0,7,0,366700
1025.0,Suburb,3,1.0,1.0,20.0,5,0,261700
1107.0,Downtown,3,1.0,0.0,38.0,6,0,329300
834.0,Rural,3,1.0,,57.0,8,0,222600
1008.0,Rural,3,1.0,2.0,13.0,4,1,230300
1194.0,Rural,4,1.0,3.0,27.0,6,0,265000
1732.0,Downtown,5,2.4,2.0,36.0,5,0,425300
2323.0,Suburb,6,2.5,2.0,13.0,7,1,473600
861.0,Rural,2,1.0,2.0,22.0,7,0,197200
1519.0,Suburb,4,1.3,1.0,83.0,6,0,319900
960.0,Downtown,3,1.3,2.0,19.0,6,0,292900
1559.0,Downtown,5,1.3,3.0,21.0,8,0,473800
1284.0,Suburb,4,1.5,2.0,43.0,7,0,304800
746.0,Suburb,4,1.0,1.0,11.0,7,0,307600
1803.0,Waterfront,4,1.8,1.0,27.0,7,1,754300
1104.0,Rural,4,1.0,2.0,15.0,2,0,213100
1129.0,Rural,4,1.0,2.0,35.0,6,0,260500
951.0,Waterfront,4,1.1,,1.0,4,1,575900
1086.0,Suburb,4,1.3,2.0,31.0,5,0,276900
1536.0,Downtown,5,1.4,2.0,37.0,8,0,407200
1261.0,Downtown,4,,2.0,22.0,6,0,351700
1488.0,Rural,4,2.0,2.0,23.0,9,0,296300
1504.0,Suburb,5,1.1,4.0,20.0,4,0,334800
2044.0,Waterfront,5,2.3,3.0,27.0,5,1,763000
1200.0,Downtown,4,1.0,3.0,74.0,7,0,324700
835.0,Downtown,3,1.0,1.0,53.0,5,0,270200
1885.0,Rural,6,2.2,1.0,27.0,7,0,310200
1205.0,Rural,4,1.1,2.0,22.0,6,0,240000
1913.0,Rural,6,1.7,3.0,49.0,6,1,334200
1514.0,Downtown,6,2.1,3.0,33.0,6,1,395600
1284.0,Suburb,6,1.7,3.0,12.0,6,1,392200
1498.0,Suburb,6,1.0,0.0,25.0,7,0,340600
,Rural,7,2.3,3.0,69.0,9,0,387100
2604.0,Downtown,9,3.1,2.0,42.0,7,1,610800
1370.0,Suburb,5,1.4,1.0,22.0,6,0,362900
1410.0,Downtown,4,2.1,3.0,8.0,5,0,414400
1890.0,Rural,5,2.3,2.0,35.0,9,0,327000
1022.0,Downtown,3,1.2,2.0,30.0,7,0,322600
1490.0,Waterfront,5,,3.0,26.0,4,1,652400
1328.0,Downtown,3,1.6,2.0,50.0,3,1,361800
