InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541789,22633,HAND WARMER UNION JACK,8,2011-10-19 16:19:00,1.19,13320.0,United Kingdom
538072,71053,WHITE METAL LANTERN,5,2011-11-30 11:41:00,3.34,12697.0,EIRE
541468,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-06-26 13:40:00,3.2,13263.0,Switzerland
541319,71053,WHITE METAL LANTERN,3,2011-02-15 16:29:00,2.08,13236.0,United Kingdom
537893,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2011-10-15 11:06:00,2.22,12655.0,Australia
542737,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-08-04 15:04:00,1.95,13499.0,United Kingdom
539819,37410,TWO DOOR CURTAIN,8,2011-03-01 19:29:00,14.12,12995.0,United Kingdom
539244,47566,PARTY BUNTING,6,2011-08-28 13:29:00,6.05,12893.0,United Kingdom
539611,71053,WHITE METAL LANTERN,14,2011-08-06 16:46:00,5.17,12964.0,United Kingdom
539136,22383,LUNCH BAG SUKI DESIGN,2,2011-03-31 14:26:00,0.67,12874.0,Portugal
536106,22752,SET 7 BABUSHKA NESTING BOXES,13,2011-01-30 17:31:00,14.16,12371.0,France
542049,20725,LUNCH BAG RED RETROSPOT,7,2010-09-21 16:08:00,3.58,13364.0,United Kingdom
541520,84406B,CREAM CUPID HEARTS COAT HANGER,7,2011-08-26 11:59:00,3.1,13271.0,United Kingdom
537859,22423,REGENCY CAKESTAND 3 TIER,7,2011-07-29 19:31:00,14.02,12647.0,United Kingdom
536435,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-07-28 19:18:00,6.02,12420.0,United Kingdom
C537351,84406B,CREAM CUPID HEARTS COAT HANGER,-18,2010-10-27 16:13:00,7.85,12572.0,United Kingdom
C537531,22383,LUNCH BAG SUKI DESIGN,-14,2011-09-28 10:41:00,2.14,12604.0,United Kingdom
538526,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-05-31 17:01:00,1.41,,  United Kingdom  
540296,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2011-04-11 13:55:00,6.85,13077.0,  United Kingdom  
539691,71053,WHITE METAL LANTERN,10,2011-04-28 11:07:00,10.47,12978.0,United Kingdom
541691,47566,PARTY BUNTING,12,2011-08-09 12:08:00,7.2,13308.0,United Kingdom
538673,22086,PAPER CHAIN KIT 50'S CHRISTMAS,10,2011-06-10 19:09:00,7.01,12794.0,Australia
540922,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-04-19 18:19:00,3.27,13163.0,United Kingdom
539954,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-06-23 12:00:00,1.19,13020.0,United Kingdom
541890,84406B,CREAM CUPID HEARTS COAT HANGER,2,2010-09-27 13:48:00,1.84,13336.0,Germany
536727,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-04-13 19:47:00,1.03,12471.0,EIRE
540500,47566,PARTY BUNTING,7,2011-07-18 10:58:00,6.89,13107.0,Spain
536928,84406B,CREAM CUPID HEARTS COAT HANGER,5,2011-08-11 16:31:00,2.27,12499.0,  United Kingdom  
541372,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-05-21 15:56:00,1.99,13244.0,United Kingdom
541434,22423,REGENCY CAKESTAND 3 TIER,10,2011-11-05 15:09:00,11.46,13255.0,Switzerland
538004,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-05-08 15:08:00,2.8,12682.0,Switzerland
539601,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-10-25 17:36:00,5.1,12964.0,United Kingdom
542065,20725,LUNCH BAG RED RETROSPOT,3,2011-11-30 08:32:00,0.94,13366.0,United Kingdom
538152,21871,SAVE THE PLANET MUG,5,2011-05-25 17:05:00,1.65,12711.0,United Kingdom
541403,37410,TWO DOOR CURTAIN,20,2011-08-22 09:56:00,32.34,13248.0,United Kingdom
537569,84406B,CREAM CUPID HEARTS COAT HANGER,7,2011-04-09 18:07:00,2.69,12609.0,United Kingdom
539516,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-12-09 16:18:00,3.97,12940.0,United Kingdom
540262,21871,SAVE THE PLANET MUG,6,2011-06-16 18:48:00,2.06,13074.0,United Kingdom
536691,22632,HAND WARMER RED POLKA DOT,12,2011-09-16 13:03:00,1.42,12468.0,United Kingdom
536300,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2010-08-05 08:21:00,2.0,12402.0,United Kingdom
536773,22633,HAND WARMER UNION JACK,3,2011-04-29 09:45:00,0.88,12478.0,United Kingdom
539420,37410,TWO DOOR CURTAIN,5,2011-08-04 08:21:00,11.9,12925.0,Netherlands
C541250,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-4,2011-04-30 14:04:00,1.53,13223.0,United Kingdom
539764,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-07-25 08:31:00,2.96,12988.0,Spain
540558,84879,ASSORTED COLOUR BIRD ORNAMENT,19,2010-05-13 08:25:00,3.77,13111.0,United Kingdom
537895,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,11,2011-10-13 12:26:00,5.25,12655.0,Australia
541255,22423,REGENCY CAKESTAND 3 TIER,4,2011-04-24 13:45:00,5.27,13225.0,United Kingdom
542664,47566,PARTY BUNTING,8,2010-05-10 10:20:00,8.05,13484.0,United Kingdom
542798,71053,WHITE METAL LANTERN,17,2010-11-29 09:35:00,5.5,13503.0,United Kingdom
540906,22383,LUNCH BAG SUKI DESIGN,7,2011-10-12 08:00:00,1.87,13160.0,  United Kingdom  
539544,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2011-11-06 08:45:00,1.47,12944.0,United Kingdom
537024,71053,WHITE METAL LANTERN,5,2011-10-31 14:14:00,3.74,,United Kingdom
537434,21232,STRAWBERRY CERAMIC TRINKET BOX,6,2010-06-25 11:00:00,6.39,12584.0,United Kingdom
539085,37410,TWO DOOR CURTAIN,12,2010-07-02 17:14:00,20.2,12864.0,United Kingdom
540693,47566,PARTY BUNTING,10,2011-09-01 19:24:00,3.71,13133.0,  United Kingdom  
539229,22632,HAND WARMER RED POLKA DOT,6,2011-08-21 08:32:00,3.04,12890.0,Switzerland
540836,22086,PAPER CHAIN KIT 50'S CHRISTMAS,10,2010-11-25 16:06:00,5.43,13153.0,United Kingdom
541020,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-10-15 08:15:00,3.38,13178.0,United Kingdom
539322,47566,PARTY BUNTING,6,2011-07-28 12:54:00,2.41,12902.0,United Kingdom
542539,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-08-09 19:06:00,4.71,13461.0,United Kingdom
540992,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7,2010-12-05 08:56:00,1.38,13172.0,United Kingdom
537162,20725,LUNCH BAG RED RETROSPOT,5,2011-04-25 16:09:00,0.82,12542.0,United Kingdom
536969,37410,TWO DOOR CURTAIN,9,2011-09-19 09:11:00,8.78,12508.0,United Kingdom
536237,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-11-21 18:42:00,2.18,12393.0,United Kingdom
542422,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-01-16 19:15:00,5.02,13445.0,United Kingdom
542350,22803,PINK SPOTTY CUP,6,2011-10-04 10:42:00,1.87,13426.0,Switzerland
539017,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2011-03-19 08:53:00,2.95,12856.0,Portugal
538433,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-09-25 12:47:00,2.72,12764.0,  United Kingdom  
538067,21232,STRAWBERRY CERAMIC TRINKET BOX,10,2011-09-23 13:15:00,2.09,12695.0,United Kingdom
538572,22633,HAND WARMER UNION JACK,6,2011-02-25 12:40:00,2.57,12780.0,United Kingdom
539368,22633,HAND WARMER UNION JACK,6,2011-09-27 08:06:00,2.93,12913.0,Australia
542853,21232,STRAWBERRY CERAMIC TRINKET BOX,6,2011-08-11 09:26:00,3.4,13510.0,United Kingdom
541714,22383,LUNCH BAG SUKI DESIGN,3,2011-04-10 15:19:00,0.84,13311.0,United Kingdom
540631,22803,PINK SPOTTY CUP,12,2011-10-09 08:54:00,4.02,13120.0,United Kingdom
C538572,71053,WHITE METAL LANTERN,-8,2011-02-25 12:40:00,9.27,12780.0,United Kingdom
537951,22423,REGENCY CAKESTAND 3 TIER,8,2011-11-25 08:31:00,10.37,12667.0,Switzerland
541277,37410,TWO DOOR CURTAIN,10,2011-05-18 17:04:00,11.13,13230.0,United Kingdom
537746,22803,PINK SPOTTY CUP,5,2011-09-14 19:55:00,2.24,12629.0,United Kingdom
537078,22803,PINK SPOTTY CUP,7,2011-10-30 16:13:00,1.19,12529.0,  United Kingdom  
538617,37410,TWO DOOR CURTAIN,5,2010-11-27 17:42:00,12.35,12787.0,United Kingdom
C536184,22632,HAND WARMER RED POLKA DOT,-9,2011-07-04 08:32:00,2.37,12381.0,Australia
539127,22383,LUNCH BAG SUKI DESIGN,6,2011-02-15 13:10:00,1.69,12870.0,United Kingdom
538876,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-09-21 16:05:00,2.75,12827.0,United Kingdom
542811,22752,SET 7 BABUSHKA NESTING BOXES,9,2011-09-20 19:47:00,9.47,13506.0,United Kingdom
541044,22803,PINK SPOTTY CUP,6,2011-03-22 13:13:00,0.77,13185.0,Belgium
C540042,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-5,2011-09-15 10:49:00,1.45,13036.0,United Kingdom
536847,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-11-23 16:50:00,3.86,12487.0,Germany
541567,47566,PARTY BUNTING,9,2011-11-18 13:39:00,3.83,13281.0,United Kingdom
538561,84029E,RED WOOLLY HOTTIE WHITE HEART,5,2010-09-21 16:59:00,1.51,12778.0,EIRE
539863,20727,LUNCH BAG BLACK SKULL,4,2011-03-02 18:23:00,0.78,13004.0,United Kingdom
541225,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-11-10 10:33:00,1.32,13218.0,United Kingdom
537078,20727,LUNCH BAG BLACK SKULL,3,2011-10-30 16:13:00,1.45,12529.0,United Kingdom
539251,37410,TWO DOOR CURTAIN,4,2010-10-03 14:31:00,11.58,12893.0,United Kingdom
540511,22803,PINK SPOTTY CUP,20,2011-09-20 18:42:00,4.57,13108.0,Switzerland
538140,47566,PARTY BUNTING,14,2011-10-14 09:50:00,4.37,12709.0,Belgium
541920,22752,SET 7 BABUSHKA NESTING BOXES,22,2011-05-05 19:11:00,11.65,13343.0,United Kingdom
542231,21871,SAVE THE PLANET MUG,9,2010-06-18 18:36:00,1.67,13399.0,  France  
542024,20725,LUNCH BAG RED RETROSPOT,11,2011-10-02 09:19:00,2.14,13361.0,United Kingdom
541629,22803,PINK SPOTTY CUP,3,2011-12-03 13:04:00,0.73,13293.0,United Kingdom
541402,84879,ASSORTED COLOUR BIRD ORNAMENT,20,2011-06-02 10:00:00,2.75,13248.0,United Kingdom
537219,22383,LUNCH BAG SUKI DESIGN,17,2011-01-07 14:32:00,3.37,12550.0,United Kingdom
C539360,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-16,2011-11-30 15:20:00,6.85,12913.0,Australia
540042,84029E,RED WOOLLY HOTTIE WHITE HEART,8,2011-09-15 10:49:00,3.3,13036.0,United Kingdom
539849,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-10-20 08:19:00,5.15,13001.0,Netherlands
542735,84029E,RED WOOLLY HOTTIE WHITE HEART,7,2011-10-27 18:58:00,5.83,13499.0,United Kingdom
538525,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-02-20 11:29:00,3.01,12770.0,United Kingdom
540645,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-02-20 17:29:00,8.15,,United Kingdom
536679,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-11-25 08:01:00,2.35,12467.0,United Kingdom
C537490,22632,HAND WARMER RED POLKA DOT,-3,2011-02-12 10:12:00,1.92,12594.0,United Kingdom
536686,84879,ASSORTED COLOUR BIRD ORNAMENT,13,2011-07-23 10:12:00,2.91,12468.0,United Kingdom
537940,22383,LUNCH BAG SUKI DESIGN,9,2011-07-20 16:03:00,0.85,12661.0,Portugal
C541130,22423,REGENCY CAKESTAND 3 TIER,-3,2011-10-01 15:08:00,5.27,13198.0,United Kingdom
540804,71053,WHITE METAL LANTERN,7,2011-10-15 09:59:00,2.83,13151.0,Portugal
537309,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2011-11-14 09:12:00,2.33,12565.0,United Kingdom
542577,22803,PINK SPOTTY CUP,12,2011-03-16 17:46:00,2.02,13467.0,United Kingdom
542234,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-10-18 17:06:00,2.51,13400.0,Netherlands
540105,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-03-06 10:53:00,3.86,13048.0,Portugal
542875,22383,LUNCH BAG SUKI DESIGN,3,2011-10-29 12:20:00,1.39,13516.0,United Kingdom
539128,22383,LUNCH BAG SUKI DESIGN,8,2011-09-09 19:42:00,2.4,12870.0,United Kingdom
539869,21871,SAVE THE PLANET MUG,9,2011-05-16 11:46:00,1.99,13005.0,Belgium
542329,22633,HAND WARMER UNION JACK,7,2011-07-31 19:22:00,1.34,13421.0,United Kingdom
542120,71053,WHITE METAL LANTERN,4,2011-09-15 11:42:00,2.44,13384.0,Switzerland
537333,71053,WHITE METAL LANTERN,3,2011-06-30 15:03:00,3.99,12570.0,United Kingdom
537510,71053,WHITE METAL LANTERN,8,2011-06-26 19:40:00,2.25,12600.0,United Kingdom
541032,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-06-26 10:47:00,3.31,13181.0,United Kingdom
540749,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,2011-10-17 19:50:00,1.79,13141.0,United Kingdom
540143,22752,SET 7 BABUSHKA NESTING BOXES,8,2011-08-06 17:04:00,10.53,13061.0,United Kingdom
536831,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,2011-08-25 13:55:00,3.62,12485.0,United Kingdom
539942,20725,LUNCH BAG RED RETROSPOT,8,2011-10-19 18:01:00,1.63,13017.0,United Kingdom
537682,22423,REGENCY CAKESTAND 3 TIER,21,2011-08-13 10:28:00,18.38,12618.0,United Kingdom
538368,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-08-18 08:21:00,5.2,12754.0,  United Kingdom  
540159,84406B,CREAM CUPID HEARTS COAT HANGER,9,2011-04-12 16:52:00,4.91,13063.0,United Kingdom
540755,22632,HAND WARMER RED POLKA DOT,19,2011-10-25 16:01:00,4.17,13142.0,France
537789,22423,REGENCY CAKESTAND 3 TIER,14,2011-10-04 13:31:00,23.47,12635.0,United Kingdom
536357,22633,HAND WARMER UNION JACK,9,2011-08-15 09:26:00,2.1,12413.0,United Kingdom
538138,20725,LUNCH BAG RED RETROSPOT,12,2011-10-24 15:36:00,1.48,12709.0,Belgium
541340,84029E,RED WOOLLY HOTTIE WHITE HEART,13,2011-09-02 08:20:00,3.26,13239.0,Portugal
538126,20727,LUNCH BAG BLACK SKULL,14,2011-11-13 15:01:00,1.56,12707.0,United Kingdom
542316,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-02-23 16:25:00,1.56,13417.0,Australia
536820,22423,REGENCY CAKESTAND 3 TIER,3,2011-01-21 12:27:00,10.41,12483.0,United Kingdom
537534,84879,ASSORTED COLOUR BIRD ORNAMENT,14,2011-10-28 12:01:00,3.03,12604.0,United Kingdom
538772,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-06-27 13:29:00,2.18,12810.0,Netherlands
538570,22632,HAND WARMER RED POLKA DOT,6,2011-05-11 10:14:00,2.56,12780.0,United Kingdom
538895,21232,STRAWBERRY CERAMIC TRINKET BOX,10,2011-06-16 11:16:00,6.55,12830.0,United Kingdom
538114,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2011-03-09 11:18:00,1.77,12704.0,United Kingdom
539238,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,2011-08-17 17:58:00,1.41,12892.0,United Kingdom
537182,20727,LUNCH BAG BLACK SKULL,6,2011-04-24 09:32:00,0.75,12545.0,United Kingdom
539812,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2011-08-19 09:26:00,5.96,12995.0,United Kingdom
537382,22086,PAPER CHAIN KIT 50'S CHRISTMAS,9,2011-09-15 10:24:00,2.42,12576.0,United Kingdom
C539774,71053,WHITE METAL LANTERN,-4,2011-10-07 15:45:00,1.39,12990.0,United Kingdom
C538696,71053,WHITE METAL LANTERN,-22,2011-04-24 09:49:00,4.07,12796.0,Australia
537676,20727,LUNCH BAG BLACK SKULL,21,2011-01-09 19:53:00,2.58,12618.0,United Kingdom
536856,22632,HAND WARMER RED POLKA DOT,2,2011-04-17 10:35:00,1.41,12489.0,United Kingdom
539127,84406B,CREAM CUPID HEARTS COAT HANGER,7,2011-02-15 13:10:00,3.6,12870.0,United Kingdom
539010,21871,SAVE THE PLANET MUG,7,2011-12-03 16:54:00,3.04,12856.0,Portugal
C540497,22633,HAND WARMER UNION JACK,-5,2011-11-07 09:25:00,1.51,13107.0,Spain
537455,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2011-05-02 10:43:00,1.71,12588.0,  United Kingdom  
541507,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2011-08-28 15:27:00,1.88,13269.0,United Kingdom
541844,20725,LUNCH BAG RED RETROSPOT,14,2011-08-24 09:09:00,2.05,13330.0,United Kingdom
538487,20727,LUNCH BAG BLACK SKULL,18,2010-05-28 08:36:00,4.25,12768.0,United Kingdom
537847,22383,LUNCH BAG SUKI DESIGN,4,2011-06-28 10:05:00,0.0,12643.0,United Kingdom
539925,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-03-02 09:44:00,1.26,13014.0,Switzerland
539634,47566,PARTY BUNTING,3,2010-11-14 14:33:00,2.22,12966.0,Australia
537580,22803,PINK SPOTTY CUP,7,2011-10-14 16:57:00,3.47,12611.0,Netherlands
539263,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7,2011-12-08 12:52:00,4.56,12897.0,United Kingdom
540121,21232,STRAWBERRY CERAMIC TRINKET BOX,7,2011-05-05 08:19:00,1.74,13054.0,United Kingdom
537289,22383,LUNCH BAG SUKI DESIGN,13,2011-08-27 13:27:00,1.34,12562.0,Germany
540311,20725,LUNCH BAG RED RETROSPOT,4,2011-06-01 10:20:00,0.93,13079.0,United Kingdom
539405,22423,REGENCY CAKESTAND 3 TIER,4,2011-04-18 11:37:00,4.74,12921.0,United Kingdom
542320,22632,HAND WARMER RED POLKA DOT,5,2011-01-08 14:12:00,1.48,13417.0,Australia
539019,22383,LUNCH BAG SUKI DESIGN,8,2011-09-04 13:43:00,2.94,12856.0,Portugal
541460,20727,LUNCH BAG BLACK SKULL,9,2011-10-13 19:25:00,1.87,13263.0,Switzerland
539720,22803,PINK SPOTTY CUP,8,2010-10-24 13:48:00,4.66,12980.0,United Kingdom
537822,84406B,CREAM CUPID HEARTS COAT HANGER,20,2010-02-04 13:55:00,7.4,12637.0,United Kingdom
539414,71053,WHITE METAL LANTERN,3,2011-05-07 13:52:00,2.92,12923.0,Germany
539834,22086,PAPER CHAIN KIT 50'S CHRISTMAS,9,2010-09-10 19:37:00,6.28,12995.0,United Kingdom
540953,47566,PARTY BUNTING,3,2010-12-08 19:43:00,3.62,13167.0,United Kingdom
537727,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2011-06-30 10:58:00,2.76,12627.0,United Kingdom
542913,22632,HAND WARMER RED POLKA DOT,10,2011-09-17 16:03:00,2.15,13525.0,United Kingdom
541541,47566,PARTY BUNTING,6,2011-08-25 08:43:00,9.39,13272.0,United Kingdom
539187,47566,PARTY BUNTING,3,2011-07-02 11:21:00,3.37,12882.0,United Kingdom
537607,20727,LUNCH BAG BLACK SKULL,12,2011-10-02 18:23:00,2.15,12614.0,Switzerland
539888,84406B,CREAM CUPID HEARTS COAT HANGER,7,2011-09-14 13:33:00,3.58,13008.0,Switzerland
537565,20725,LUNCH BAG RED RETROSPOT,6,2011-07-08 08:40:00,3.02,12609.0,United Kingdom
537811,20727,LUNCH BAG BLACK SKULL,6,2011-09-28 08:47:00,3.55,12637.0,United Kingdom
542674,22633,HAND WARMER UNION JACK,8,2011-02-23 08:13:00,2.06,13486.0,United Kingdom
541609,22423,REGENCY CAKESTAND 3 TIER,10,2011-03-27 19:29:00,10.92,13288.0,United Kingdom
540114,20727,LUNCH BAG BLACK SKULL,6,2011-04-10 12:06:00,1.22,13051.0,United Kingdom
537346,22423,REGENCY CAKESTAND 3 TIER,22,2011-10-04 15:08:00,36.77,12572.0,United Kingdom
538183,22633,HAND WARMER UNION JACK,9,2011-05-13 18:21:00,1.65,12718.0,United Kingdom
537723,37410,TWO DOOR CURTAIN,22,2010-04-05 17:41:00,17.25,12626.0,Netherlands
536805,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2010-07-13 19:28:00,5.97,12481.0,Spain
541226,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-10-01 10:07:00,1.48,13218.0,United Kingdom
537909,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-09-01 08:50:00,2.46,12656.0,United Kingdom
541358,20725,LUNCH BAG RED RETROSPOT,9,2011-10-02 15:15:00,1.39,13243.0,United Kingdom
539121,22383,LUNCH BAG SUKI DESIGN,12,2011-10-15 11:42:00,1.68,12870.0,United Kingdom
542084,37410,TWO DOOR CURTAIN,3,2011-11-03 15:59:00,3.01,13372.0,United Kingdom
539439,21871,SAVE THE PLANET MUG,7,2011-07-08 13:34:00,2.69,12928.0,Australia
542364,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-01-28 08:26:00,4.77,13431.0,United Kingdom
536729,20725,LUNCH BAG RED RETROSPOT,10,2011-08-07 10:29:00,1.9,12472.0,United Kingdom
540651,71053,WHITE METAL LANTERN,11,2010-05-29 11:32:00,5.08,13120.0,United Kingdom
540575,22632,HAND WARMER RED POLKA DOT,5,2011-05-07 19:31:00,1.56,,United Kingdom
536840,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-06-09 11:05:00,2.38,12486.0,United Kingdom
542796,22803,PINK SPOTTY CUP,12,2010-11-21 14:26:00,5.48,13503.0,United Kingdom
536065,22423,REGENCY CAKESTAND 3 TIER,5,2011-04-25 11:00:00,7.97,12362.0,United Kingdom
541516,20727,LUNCH BAG BLACK SKULL,9,2011-07-05 14:46:00,2.84,13270.0,United Kingdom
542138,22383,LUNCH BAG SUKI DESIGN,5,2010-12-18 12:04:00,1.79,13386.0,United Kingdom
540536,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,14,2011-04-02 18:10:00,3.83,13109.0,United Kingdom
541237,22632,HAND WARMER RED POLKA DOT,3,2011-11-07 18:38:00,0.48,13221.0,Germany
537315,22803,PINK SPOTTY CUP,10,2011-09-04 17:42:00,2.05,12566.0,United Kingdom
C542390,84406B,CREAM CUPID HEARTS COAT HANGER,-7,2011-09-23 19:09:00,2.73,13439.0,United Kingdom
539394,37410,TWO DOOR CURTAIN,5,2011-06-15 14:44:00,10.13,12916.0,United Kingdom
539350,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-11-07 15:48:00,1.25,12907.0,United Kingdom
536577,84029E,RED WOOLLY HOTTIE WHITE HEART,8,2011-05-08 10:32:00,3.9,12442.0,United Kingdom
539477,71053,WHITE METAL LANTERN,17,2011-11-11 14:30:00,10.67,12935.0,United Kingdom
536614,20727,LUNCH BAG BLACK SKULL,4,2011-10-03 16:51:00,0.84,12449.0,Switzerland
541662,20725,LUNCH BAG RED RETROSPOT,11,2011-01-07 19:03:00,2.53,13299.0,United Kingdom
539886,84029E,RED WOOLLY HOTTIE WHITE HEART,10,2011-04-28 14:31:00,6.33,13008.0,Switzerland
537778,22423,REGENCY CAKESTAND 3 TIER,4,2011-07-13 08:38:00,4.71,12634.0,Belgium
539514,22423,REGENCY CAKESTAND 3 TIER,3,2011-07-11 09:47:00,7.73,12939.0,United Kingdom
538531,22632,HAND WARMER RED POLKA DOT,7,2011-10-06 16:36:00,0.94,12772.0,United Kingdom
