name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Skoda Kushaq 2020,2020,150000.0,51467,CNG,Individual,Manual,Third,19.68,1486,109.44,79Nm,5
Hyundai i20 2019,2019,661167.5,91416,Electric,Dealer,Manual,First,24.0,2099,164.51,76Nm,4
Tata Harrier 2016,2016,150000.0,30676,LPG,Dealer,Automatic,First,11.55,2365,164.16,36Nm,7
Hyundai i20 2023,2023,590277.0,82512,Diesel,Dealer,Automatic,Third,20.31,2236,160.88,52Nm,4
Kia Sonet 2012,2012,150000.0,22097,LPG,Individual,Automatic,First,24.7,1005,71.01,48Nm,5
Volkswagen Taigun 2018,2018,150000.0,83519,Petrol,Individual,Manual,First,15.54,2413,121.83,47Nm,4
Mahindra Scorpio 2016,2016,228502.0,57795,Petrol,Individual,Automatic,Second,21.7,2394,164.94,46Nm,4
Skoda Kushaq 2014,2014,263769.0,41029,Diesel,Dealer,Manual,Fourth,21.74,1048,103.52,62Nm,4
Tata Harrier 2014,2014,150000.0,113202,Petrol,Dealer,Automatic,First,16.9,1961,89.67,70Nm,4
Tata Safari 2012,2012,150000.0,96511,Diesel,Dealer,Automatic,Third,19.62,1568,101.96,73Nm,4
Volkswagen Polo 2012,2012,150000.0,25118,CNG,Dealer,Manual,Third,20.93,1076,90.78,58Nm,4
Volkswagen Vento 2018,2018,285519.0,85574,Diesel,Dealer,Automatic,First,22.1,2449,139.29,80Nm,5
Tata Harrier 2018,2018,214767.0,19171,CNG,Dealer,Automatic,First,16.13,2472,102.31,38Nm,5
Volkswagen Vento 2015,2015,150000.0,65108,LPG,Dealer,Manual,Third,13.15,1829,152.15,58Nm,7
Honda Amaze 2019,2019,425292.0,67954,Diesel,Dealer,Automatic,Second,19.49,2347,93.57,72Nm,4
Tata Harrier 2015,2015,150000.0,115717,Diesel,Dealer,Manual,First,21.53,1092,109.2,76Nm,4
Skoda Rapid 2023,2023,150000.0,101272,LPG,Dealer,Automatic,Fourth,23.39,1497,161.86,76Nm,4
Hyundai Venue 2015,2015,739118.5,33053,Electric,Dealer,Automatic,First,22.02,2139,136.79,55Nm,4
Skoda Octavia 2019,2019,766726.5,90301,Electric,Dealer,Automatic,Fourth,21.28,1323,159.18,37Nm,7
Volkswagen Polo 2022,2022,231078.0,41358,CNG,Dealer,Automatic,First,14.8,2459,120.22,28Nm,5
Mahindra XUV300 2018,2018,203826.0,100957,Diesel,Dealer,Manual,First,16.24,1847,76.89,46Nm,5
Renault Duster 2023,2023,1057539.0,12560,Electric,Dealer,Automatic,Fourth,22.8,1010,173.95,46Nm,5
Volkswagen Taigun 2023,2023,786450.5,81582,Electric,Dealer,Manual,Fourth,15.83,1447,136.95,71Nm,5
Renault Duster 2014,2014,179837.0,71261,Diesel,Individual,Manual,Fourth,19.64,2210,67.64,49Nm,7
Mahindra Scorpio 2016,2016,150000.0,59689,CNG,Dealer,Manual,Fourth,14.17,1667,173.66,46Nm,5
Ford EcoSport 2019,2019,862679.5,12540,Electric,Dealer,Manual,Third,19.78,1457,148.05,80Nm,7
Tata Safari 2012,2012,150000.0,91439,Diesel,Dealer,Manual,Second,13.27,1967,140.93,69Nm,7
Honda City 2021,2021,150000.0,89593,Petrol,Dealer,Manual,Third,18.64,1219,168.04,44Nm,7
Renault Duster 2015,2015,824842.5,19961,Electric,Dealer,Manual,First,11.82,2425,177.9,70Nm,5
Maruti Brezza 2020,2020,150000.0,66148,CNG,Individual,Manual,Third,24.41,1023,132.63,73Nm,5
Kia Seltos 2018,2018,991165.0,33086,Electric,Dealer,Automatic,Fourth,14.83,1950,81.91,79Nm,5
Hyundai Verna 2019,2019,150000.0,41963,LPG,Individual,Automatic,Third,13.18,1056,153.72,41Nm,5
Ford Endeavour 2023,2023,977919.0,46211,Electric,Dealer,Manual,Second,18.33,1173,81.24,50Nm,4
Kia Sonet 2012,2012,150000.0,22196,CNG,Dealer,Manual,Fourth,15.54,2414,121.95,42Nm,4
Renault Duster 2020,2020,150000.0,53357,CNG,Individual,Automatic,Third,12.89,1625,65.54,54Nm,5
Mahindra XUV300 2015,2015,150000.0,106810,LPG,Dealer,Automatic,Third,12.69,1203,51.84,54Nm,4
Mahindra Thar 2012,2012,703688.0,17146,Electric,Dealer,Automatic,Second,18.61,2304,111.02,48Nm,5
Honda City 2012,2012,150000.0,43092,LPG,Dealer,Manual,First,20.3,1818,69.72,71Nm,5
Skoda Octavia 2013,2013,150000.0,42530,Petrol,Dealer,Automatic,Second,14.46,2068,126.51,47Nm,5
Ford Endeavour 2021,2021,926866.5,17894,Electric,Dealer,Manual,Second,12.36,2279,72.6,24Nm,4
Mahindra Scorpio 2018,2018,691332.0,69048,Electric,Dealer,Automatic,Third,20.54,1064,109.02,63Nm,4
Tata Harrier 2022,2022,548121.0,87304,Diesel,Individual,Automatic,First,13.98,2113,68.49,23Nm,4
Mahindra Thar 2021,2021,764054.0,108167,Electric,Dealer,Automatic,Fourth,16.04,1252,85.39,54Nm,5
Kia Sonet 2013,2013,150000.0,88385,Petrol,Individual,Automatic,Third,24.43,2234,158.67,56Nm,5
Skoda Rapid 2022,2022,150000.0,117665,CNG,Dealer,Manual,Second,14.17,1961,179.6,47Nm,7
Kia Seltos 2019,2019,150000.0,55607,LPG,Dealer,Automatic,Third,20.41,2370,87.47,80Nm,4
Renault Duster 2012,2012,150000.0,69614,Petrol,Dealer,Automatic,Third,17.72,1660,178.46,62Nm,4
Volkswagen Polo 2018,2018,673394.0,17104,Diesel,Individual,Automatic,Fourth,14.01,2278,67.03,38Nm,5
Kia Sonet 2013,2013,686057.0,13783,Electric,Dealer,Manual,Second,11.4,1634,178.99,78Nm,7
Hyundai Venue 2013,2013,150000.0,94896,Diesel,Dealer,Automatic,Third,17.24,2040,111.39,49Nm,7
Volkswagen Vento 2018,2018,831461.5,34983,Electric,Dealer,Manual,First,17.62,1563,156.67,38Nm,5
Ford Endeavour 2021,2021,150000.0,96499,LPG,Dealer,Manual,Fourth,21.44,2101,99.04,79Nm,5
Honda City 2023,2023,1068975.5,41300,Electric,Dealer,Automatic,Second,20.58,1839,155.48,44Nm,4
Mahindra Bolero 2012,2012,756403.5,26547,Electric,Dealer,Automatic,First,10.23,1899,68.74,75Nm,4
Mahindra Scorpio 2019,2019,150000.0,112436,CNG,Dealer,Automatic,Fourth,22.89,2328,99.4,40Nm,4
Kia Seltos 2021,2021,648534.0,18968,Diesel,Dealer,Automatic,Second,20.56,1183,63.07,30Nm,5
Ford EcoSport 2012,2012,150000.0,52516,Petrol,Dealer,Automatic,Third,16.18,1765,138.63,31Nm,5
Mahindra XUV300 2013,2013,150000.0,89887,LPG,Dealer,Manual,Fourth,13.81,2192,83.19,20Nm,4
Kia Sonet 2022,2022,415989.0,81643,Diesel,Dealer,Manual,Fourth,16.36,1705,82.51,74Nm,7
Ford EcoSport 2018,2018,150000.0,73335,Petrol,Dealer,Manual,Fourth,20.49,2169,52.85,73Nm,5
Renault Triber 2012,2012,150000.0,84177,Petrol,Dealer,Automatic,Third,12.85,1469,82.58,68Nm,7
Mahindra Scorpio 2022,2022,231778.0,94717,Petrol,Dealer,Automatic,Fourth,11.35,1066,88.36,67Nm,7
Renault Kwid 2015,2015,760880.0,27322,Electric,Dealer,Automatic,Third,14.43,1334,163.15,71Nm,5
Hyundai Venue 2013,2013,221052.0,28449,Diesel,Dealer,Automatic,Third,11.85,1182,97.92,67Nm,5
Ford Endeavour 2018,2018,150000.0,117795,CNG,Dealer,Manual,Second,18.42,1963,168.98,34Nm,4
Hyundai Venue 2023,2023,150000.0,49608,LPG,Dealer,Manual,Second,11.74,1090,80.52,54Nm,4
Mahindra Bolero 2019,2019,866968.5,58629,Electric,Dealer,Automatic,Second,19.23,1847,172.08,37Nm,7
Maruti Brezza 2015,2015,150000.0,68115,LPG,Dealer,Manual,Third,24.67,1201,96.63,45Nm,7
Ford EcoSport 2013,2013,150000.0,118028,LPG,Dealer,Manual,Second,10.76,2312,93.36,28Nm,7
Skoda Rapid 2013,2013,382373.5,118765,Electric,Individual,Manual,Second,23.51,1475,50.37,74Nm,5
Mahindra XUV300 2020,2020,479175.0,42853,Diesel,Dealer,Manual,First,13.57,1267,92.09,31Nm,4
Ford EcoSport 2014,2014,150000.0,107218,LPG,Dealer,Manual,First,18.9,1973,108.76,34Nm,5
Skoda Rapid 2023,2023,663546.5,112659,Electric,Dealer,Automatic,Fourth,22.71,2315,105.42,26Nm,4
Kia Sonet 2013,2013,150000.0,20589,CNG,Dealer,Manual,First,18.23,1256,92.27,58Nm,5
Volkswagen Polo 2019,2019,888714.5,76263,Electric,Dealer,Automatic,First,21.53,2435,143.71,33Nm,4
Renault Triber 2015,2015,150000.0,64239,CNG,Dealer,Automatic,Fourth,14.69,1849,83.14,29Nm,7
Kia Seltos 2013,2013,150000.0,119022,Petrol,Dealer,Manual,Fourth,11.95,1195,57.8,55Nm,7
Volkswagen Polo 2022,2022,150000.0,26021,LPG,Dealer,Automatic,Fourth,15.27,2474,125.13,33Nm,4
Mahindra Bolero 2015,2015,150000.0,24184,CNG,Dealer,Automatic,First,22.68,1568,176.69,72Nm,7
Skoda Kushaq 2022,2022,642680.0,94239,Electric,Dealer,Manual,Third,14.63,1057,94.18,20Nm,4
Mahindra XUV300 2021,2021,150000.0,96159,LPG,Dealer,Manual,Second,13.23,2294,104.58,41Nm,4
Mahindra Thar 2016,2016,150000.0,104581,CNG,Dealer,Manual,First,20.11,1316,85.37,62Nm,4
Renault Triber 2021,2021,150000.0,67939,LPG,Dealer,Automatic,Second,14.25,2047,138.2,51Nm,4
Volkswagen Taigun 2016,2016,499607.0,15952,Diesel,Dealer,Automatic,First,21.51,1013,149.34,38Nm,4
Honda City 2012,2012,150000.0,75193,LPG,Dealer,Manual,Second,18.38,1776,136.85,42Nm,7
Hyundai Venue 2023,2023,223855.0,15544,LPG,Dealer,Manual,Fourth,16.07,1157,133.22,38Nm,5
Hyundai Venue 2012,2012,150000.0,52568,Diesel,Dealer,Automatic,Third,18.83,1178,118.12,45Nm,5
Ford Endeavour 2017,2017,150000.0,39041,CNG,Dealer,Manual,First,12.91,2043,150.91,42Nm,7
Mahindra XUV300 2013,2013,150000.0,29194,CNG,Dealer,Manual,Second,11.13,2231,173.67,60Nm,4
Kia Sonet 2021,2021,693845.0,109598,Electric,Dealer,Automatic,Third,17.03,2282,132.08,70Nm,5
Ford Endeavour 2012,2012,350989.5,56129,Electric,Individual,Manual,Third,22.48,1943,59.98,75Nm,5
Hyundai Venue 2019,2019,619049.0,86064,Electric,Dealer,Manual,Fourth,17.13,2168,69.61,23Nm,7
Kia Seltos 2017,2017,150000.0,103626,Petrol,Dealer,Manual,First,17.86,1505,129.27,43Nm,7
Honda Amaze 2018,2018,150000.0,63578,CNG,Dealer,Manual,Third,15.8,1132,82.76,74Nm,5
Skoda Rapid 2017,2017,959946.5,20682,Electric,Dealer,Manual,Third,11.93,1633,142.15,25Nm,7
Ford Endeavour 2018,2018,150000.0,94343,CNG,Dealer,Manual,First,10.27,2321,90.15,80Nm,7
Tata Harrier 2019,2019,561336.0,35166,Diesel,Individual,Manual,Second,21.56,1156,158.57,76Nm,5
Volkswagen Vento 2022,2022,752519.5,54140,Electric,Dealer,Manual,Fourth,21.57,1313,155.18,30Nm,4
Kia Seltos 2018,2018,454667.0,57749,Diesel,Dealer,Automatic,Third,24.48,1917,151.97,77Nm,4
Tata Harrier 2022,2022,150000.0,84766,LPG,Dealer,Automatic,Third,12.43,1780,75.96,58Nm,7
Mahindra Thar 2012,2012,150000.0,94040,LPG,Dealer,Automatic,First,21.45,2454,85.46,77Nm,7
Volkswagen Vento 2018,2018,468276.0,22021,Diesel,Dealer,Automatic,Third,15.61,1052,100.2,25Nm,5
Honda City 2012,2012,150000.0,51770,Petrol,Dealer,Automatic,Second,17.09,1279,158.04,68Nm,4
Kia Sonet 2021,2021,467088.0,10688,Petrol,Dealer,Manual,Third,19.13,1439,105.02,69Nm,4
Ford EcoSport 2016,2016,208599.0,25970,Petrol,Individual,Manual,Fourth,22.55,2306,114.98,54Nm,7
Maruti Baleno 2023,2023,284987.0,28818,CNG,Dealer,Automatic,First,12.81,2257,136.87,53Nm,5
Honda City 2020,2020,717085.0,81313,Electric,Dealer,Manual,Fourth,15.6,1960,147.15,42Nm,4
Hyundai Verna 2015,2015,150000.0,106068,Petrol,Dealer,Automatic,Second,19.64,1088,157.95,63Nm,5
Kia Sonet 2022,2022,511281.0,33891,Diesel,Individual,Manual,Fourth,12.99,1073,55.45,79Nm,5
Ford Endeavour 2018,2018,533092.0,116876,Electric,Dealer,Automatic,Third,22.93,1072,56.21,61Nm,7
Honda Amaze 2013,2013,150000.0,114771,CNG,Dealer,Automatic,Fourth,17.44,1898,114.68,79Nm,5
Volkswagen Polo 2013,2013,150000.0,105300,LPG,Dealer,Manual,Fourth,11.54,2231,92.63,38Nm,4
Ford Freestyle 2021,2021,150000.0,104065,LPG,Dealer,Manual,Fourth,23.67,1717,129.93,47Nm,5
Ford Endeavour 2012,2012,150000.0,19835,LPG,Dealer,Automatic,Second,16.57,1061,66.41,35Nm,4
Honda Amaze 2018,2018,150000.0,84349,Petrol,Dealer,Manual,Fourth,18.61,1757,118.83,45Nm,5
Honda Civic 2016,2016,211078.0,42717,Petrol,Dealer,Manual,Second,11.77,2020,150.75,65Nm,7
Kia Seltos 2021,2021,150000.0,47431,LPG,Individual,Manual,First,20.7,1275,179.64,71Nm,4
Honda Civic 2017,2017,150000.0,103000,Petrol,Dealer,Automatic,Third,19.57,1320,153.18,52Nm,7
Tata Nexon 2015,2015,150000.0,113817,Diesel,Dealer,Manual,Fourth,17.01,1051,177.79,28Nm,5
Skoda Rapid 2013,2013,150000.0,50539,LPG,Individual,Automatic,Fourth,14.76,1836,59.64,49Nm,7
Volkswagen Polo 2014,2014,312596.0,118665,Electric,Dealer,Manual,Second,17.77,1884,89.54,30Nm,7
Honda Civic 2015,2015,790171.5,55353,Electric,Dealer,Automatic,First,14.12,1511,131.25,59Nm,4
Volkswagen Vento 2020,2020,458765.0,94015,Diesel,Dealer,Manual,Second,15.06,2347,170.11,22Nm,7
Maruti Swift 2012,2012,474721.5,94076,Electric,Dealer,Automatic,Second,17.47,2169,131.53,38Nm,5
Ford Freestyle 2015,2015,150000.0,115472,LPG,Individual,Automatic,Fourth,16.23,1147,110.38,41Nm,7
Skoda Rapid 2017,2017,150000.0,104157,CNG,Dealer,Automatic,Fourth,14.79,1265,110.64,37Nm,5
Kia Seltos 2014,2014,155776.0,22689,Petrol,Dealer,Automatic,Fourth,23.53,2258,155.75,79Nm,5
Skoda Kushaq 2017,2017,486190.0,34881,Diesel,Individual,Automatic,Fourth,24.18,2019,115.71,35Nm,5
Tata Harrier 2012,2012,150000.0,16624,CNG,Dealer,Automatic,Fourth,16.46,1583,164.72,66Nm,7
Honda Amaze 2017,2017,150000.0,15930,LPG,Individual,Manual,Second,17.56,1740,149.37,37Nm,7
Skoda Kushaq 2021,2021,602480.0,25572,Diesel,Dealer,Manual,Fourth,21.32,1762,75.88,52Nm,5
Renault Duster 2012,2012,150000.0,15938,Petrol,Individual,Manual,Third,23.4,1968,68.17,79Nm,7
Skoda Octavia 2014,2014,750199.0,61505,Electric,Dealer,Automatic,Third,18.44,2036,111.74,21Nm,7
Honda Amaze 2022,2022,245133.0,24366,LPG,Dealer,Automatic,First,21.74,2220,150.9,56Nm,5
Tata Nexon 2021,2021,386760.0,72973,Diesel,Dealer,Automatic,Second,20.51,2392,74.8,48Nm,4
Honda Amaze 2014,2014,300142.0,64127,Diesel,Individual,Automatic,Fourth,13.11,2487,92.26,62Nm,4
Kia Sonet 2017,2017,150000.0,32699,LPG,Dealer,Automatic,Third,20.4,2382,129.31,32Nm,7
Tata Harrier 2020,2020,591194.0,49124,Diesel,Dealer,Automatic,Third,14.76,2441,95.34,79Nm,4
Ford Freestyle 2013,2013,374856.0,85166,Electric,Individual,Automatic,Fourth,24.33,1704,60.27,79Nm,4
Kia Sonet 2023,2023,526603.0,72793,Diesel,Individual,Manual,Third,19.24,2149,126.29,35Nm,7
Maruti Baleno 2022,2022,368615.0,40518,Petrol,Individual,Manual,Fourth,21.56,1674,50.67,55Nm,7
Mahindra Bolero 2022,2022,150000.0,72350,LPG,Individual,Manual,Third,21.53,1655,134.8,34Nm,5
Volkswagen Taigun 2023,2023,914407.0,14888,Diesel,Dealer,Automatic,Second,24.05,1072,175.08,79Nm,5
Ford EcoSport 2012,2012,525526.0,49110,Electric,Dealer,Manual,Third,17.41,1580,172.01,74Nm,5
Volkswagen Polo 2016,2016,341231.0,35272,Petrol,Dealer,Automatic,Second,12.79,2495,145.76,70Nm,5
Ford Endeavour 2022,2022,272976.0,109258,Diesel,Individual,Manual,Fourth,20.04,1873,74.02,28Nm,7
Kia Sonet 2015,2015,150000.0,10895,CNG,Dealer,Automatic,Second,20.84,1912,51.49,61Nm,5
Honda Civic 2015,2015,335407.0,18142,Petrol,Dealer,Automatic,Third,23.43,1325,141.46,39Nm,5
Hyundai Verna 2017,2017,177385.0,90560,Diesel,Dealer,Manual,Second,19.09,1977,104.06,55Nm,4
Kia Seltos 2015,2015,475214.5,99173,Electric,Individual,Manual,Fourth,18.46,2079,58.03,55Nm,7
Volkswagen Vento 2021,2021,306071.0,80341,Diesel,Dealer,Manual,Third,20.75,2063,113.55,77Nm,5
Volkswagen Polo 2012,2012,150000.0,69432,Diesel,Dealer,Automatic,Fourth,22.1,2152,144.03,45Nm,4
Ford EcoSport 2023,2023,1082473.5,38560,Electric,Individual,Manual,First,24.91,1865,171.5,24Nm,5
Kia Seltos 2016,2016,233009.0,63591,Diesel,Dealer,Manual,Fourth,23.6,1764,98.83,63Nm,5
Volkswagen Vento 2022,2022,350500.0,55582,Petrol,Dealer,Manual,Fourth,22.52,2081,148.3,39Nm,4
Kia Sonet 2020,2020,333579.0,59712,Diesel,Individual,Manual,Fourth,23.13,1706,149.51,22Nm,4
Renault Duster 2012,2012,158047.0,41544,Diesel,Dealer,Manual,First,20.55,2214,56.33,67Nm,4
Maruti Dzire 2019,2019,839198.0,40715,Electric,Dealer,Manual,First,23.75,1284,124.89,56Nm,7
Skoda Kushaq 2017,2017,150000.0,41051,CNG,Individual,Manual,Second,24.23,1844,164.36,78Nm,5
Mahindra Bolero 2020,2020,289485.0,74962,Petrol,Dealer,Automatic,Fourth,12.24,2072,98.94,68Nm,5
Volkswagen Polo 2015,2015,150000.0,39536,CNG,Dealer,Manual,Fourth,18.36,1116,67.43,35Nm,7
Ford EcoSport 2017,2017,150000.0,94765,Petrol,Dealer,Automatic,Third,10.77,1187,99.03,58Nm,7
Skoda Rapid 2013,2013,538642.5,34662,Electric,Dealer,Manual,Fourth,10.23,1425,171.83,67Nm,5
Hyundai Venue 2015,2015,411461.0,101177,Electric,Dealer,Manual,Fourth,15.71,1488,119.37,42Nm,7
Ford Freestyle 2017,2017,150000.0,77215,LPG,Dealer,Automatic,First,23.71,2477,98.19,46Nm,5
Maruti Baleno 2023,2023,384976.0,29126,Petrol,Dealer,Automatic,Fourth,15.7,1602,158.34,51Nm,4
Volkswagen Taigun 2022,2022,198272.0,54245,CNG,Dealer,Automatic,Fourth,12.54,1941,143.64,51Nm,4
Mahindra Scorpio 2020,2020,483652.0,14433,Petrol,Dealer,Manual,First,20.61,1842,51.19,52Nm,4
Kia Sonet 2012,2012,410596.0,90980,Electric,Dealer,Automatic,Fourth,10.18,1030,118.82,37Nm,4
Volkswagen Polo 2012,2012,150000.0,75826,LPG,Dealer,Manual,First,19.3,1195,82.81,42Nm,7
Ford Freestyle 2013,2013,150000.0,58896,LPG,Dealer,Automatic,Second,22.72,2425,134.99,74Nm,4
Maruti Swift 2018,2018,150000.0,59710,LPG,Individual,Automatic,First,17.5,2302,106.41,70Nm,4
Honda Civic 2013,2013,150000.0,79226,Petrol,Dealer,Manual,Second,23.86,2415,138.98,37Nm,7
Volkswagen Taigun 2022,2022,795166.0,14312,Diesel,Dealer,Automatic,First,20.69,1422,101.78,24Nm,7
Ford EcoSport 2021,2021,960091.0,41519,Electric,Dealer,Automatic,Third,20.34,1784,60.2,67Nm,7
Honda City 2013,2013,236011.0,67290,Diesel,Dealer,Manual,Third,21.6,2237,53.85,37Nm,7
Kia Sonet 2015,2015,785324.0,56636,Electric,Dealer,Automatic,Fourth,11.29,1378,130.42,71Nm,7
Tata Nexon 2013,2013,275723.0,45123,Diesel,Individual,Automatic,Second,10.08,1795,90.07,43Nm,5
Ford EcoSport 2014,2014,449629.0,21442,Diesel,Dealer,Automatic,Fourth,10.39,2138,96.01,25Nm,7
Skoda Kushaq 2017,2017,202841.0,60493,Petrol,Dealer,Automatic,Fourth,23.58,1792,177.16,56Nm,4
Volkswagen Vento 2022,2022,514049.0,59903,Diesel,Individual,Manual,Third,12.51,1614,85.88,39Nm,5
Kia Seltos 2017,2017,394737.0,42990,Diesel,Dealer,Automatic,Second,24.23,1935,93.19,59Nm,4
Renault Triber 2019,2019,150000.0,53874,LPG,Dealer,Manual,Third,14.71,1654,175.39,40Nm,7
Ford Endeavour 2023,2023,150000.0,92955,LPG,Dealer,Manual,Third,11.71,1768,123.3,57Nm,5
Volkswagen Vento 2022,2022,631046.0,110613,Electric,Dealer,Manual,Fourth,22.47,2448,58.99,74Nm,4
Renault Duster 2019,2019,150000.0,28242,CNG,Dealer,Manual,Third,15.65,2346,108.38,58Nm,4
Kia Sonet 2020,2020,150000.0,76402,LPG,Dealer,Manual,Third,11.27,2434,149.96,62Nm,7
Honda City 2022,2022,150000.0,90304,Petrol,Individual,Automatic,Third,13.33,1879,147.09,55Nm,4
Skoda Kushaq 2021,2021,177258.0,38971,LPG,Dealer,Automatic,Fourth,12.26,1946,179.7,50Nm,7
Hyundai Verna 2018,2018,290250.0,21253,Petrol,Dealer,Manual,Third,17.82,1636,95.28,26Nm,5
Kia Sonet 2017,2017,150000.0,18804,CNG,Individual,Manual,First,22.0,1044,170.89,67Nm,5
Tata Safari 2020,2020,178643.0,30989,CNG,Individual,Automatic,Fourth,19.61,1472,106.18,21Nm,5
Skoda Rapid 2019,2019,150000.0,87621,LPG,Dealer,Automatic,First,20.56,2441,153.48,56Nm,4
Hyundai Creta 2017,2017,523987.0,52727,Diesel,Dealer,Automatic,First,19.59,1535,127.61,59Nm,7
Renault Duster 2013,2013,150000.0,55603,CNG,Dealer,Automatic,Second,19.22,2377,61.02,28Nm,7
Honda City 2015,2015,150000.0,50026,Petrol,Dealer,Manual,Third,18.95,2418,124.72,47Nm,4
Mahindra Bolero 2022,2022,292998.0,80435,Diesel,Dealer,Manual,Fourth,16.77,1589,56.97,42Nm,4
Maruti Dzire 2014,2014,150000.0,35575,LPG,Dealer,Automatic,Fourth,16.66,2400,71.74,56Nm,5
Maruti Baleno 2016,2016,150000.0,14285,CNG,Dealer,Manual,Third,21.49,1342,121.46,27Nm,5
Skoda Rapid 2016,2016,632618.0,111595,Electric,Dealer,Automatic,First,16.38,2470,145.68,61Nm,5
Tata Harrier 2012,2012,150000.0,68947,CNG,Dealer,Automatic,First,13.15,1897,145.89,64Nm,4
Honda Civic 2021,2021,150000.0,92938,LPG,Dealer,Manual,Second,17.98,1421,127.59,30Nm,4
Honda Civic 2016,2016,733786.5,47923,Electric,Dealer,Automatic,First,23.01,1275,66.5,75Nm,5
Mahindra XUV300 2014,2014,150000.0,103243,CNG,Dealer,Manual,Fourth,19.42,2000,98.77,24Nm,4
Hyundai Venue 2020,2020,150000.0,108278,CNG,Individual,Automatic,Fourth,21.61,1997,145.25,66Nm,5
Kia Sonet 2013,2013,424524.5,114291,Electric,Dealer,Automatic,Second,22.43,1877,93.91,56Nm,4
Mahindra Bolero 2017,2017,150000.0,99463,Petrol,Individual,Manual,First,22.86,2280,107.37,20Nm,5
Renault Kwid 2023,2023,216725.0,27290,CNG,Dealer,Manual,Third,15.58,1189,167.49,30Nm,7
Maruti Dzire 2022,2022,514404.0,50043,Diesel,Dealer,Automatic,First,11.17,2439,127.18,53Nm,4
Kia Seltos 2012,2012,150000.0,101173,CNG,Individual,Manual,Fourth,15.75,2419,145.0,26Nm,4
Hyundai Verna 2017,2017,443864.0,49223,Diesel,Individual,Automatic,Second,18.45,2311,129.34,30Nm,7
Kia Sonet 2023,2023,577012.0,37925,Diesel,Individual,Automatic,Fourth,11.85,1442,144.9,42Nm,4
Renault Triber 2014,2014,150000.0,42477,CNG,Dealer,Manual,Second,14.27,2131,172.37,21Nm,7
Ford EcoSport 2020,2020,565697.5,89551,Electric,Dealer,Manual,Fourth,21.91,1603,81.11,44Nm,7
Hyundai Creta 2019,2019,575014.5,93634,Electric,Dealer,Manual,First,22.58,1737,104.71,54Nm,5
Mahindra Bolero 2013,2013,610547.0,12187,Electric,Dealer,Manual,First,24.23,1534,101.74,38Nm,4
Volkswagen Polo 2018,2018,150000.0,101987,LPG,Individual,Manual,Second,23.81,1566,176.66,29Nm,4
Volkswagen Polo 2018,2018,150000.0,86865,Petrol,Dealer,Automatic,Fourth,23.87,2492,65.08,59Nm,4
Skoda Rapid 2016,2016,224393.0,97304,Diesel,Individual,Manual,First,17.45,2447,95.07,53Nm,4
